"DWV","DW","round","Category","Dogs.with.collars","Dogs.without.collars","month_vax","year_vax","Dogs_vax"
"ilala_kipawa_karakata","ilala_kipawa",5,"Urban",3,0,85,2017,200
"ilala_kipawa_kipunguni","ilala_kipawa",5,"Urban",0,0,85,2017,120
"ilala_kipawa_mogo","ilala_kipawa",5,"Urban",1,3,NA,NA,NA
"ilala_kitunda_kitundakati","ilala_kitunda",5,"Urban",1,3,85,2017,616
"ilala_kitunda_mzinga","ilala_kitunda",5,"Urban",4,6,85,2017,128
"ilala_kivukoni_kivukoni","ilala_kivukoni",5,"Urban",0,0,85,2017,4
"ilala_kivukoni_seaview","ilala_kivukoni",5,"Urban",1,0,NA,NA,NA
"ilala_kivule_kipungunib","ilala_kivule",5,"Urban",1,0,NA,NA,NA
"ilala_kivule_kivule","ilala_kivule",5,"Urban",1,5,85,2017,518
"ilala_kiwalani_kigilagila","ilala_kiwalani",5,"Urban",0,0,NA,NA,NA
"ilala_kiwalani_kiwalani","ilala_kiwalani",5,"Urban",0,0,85,2017,13
"ilala_kiwalani_minazimirefu","ilala_kiwalani",5,"Urban",0,2,85,2017,4
"ilala_kiwalani_yombo","ilala_kiwalani",5,"Urban",0,0,NA,NA,NA
"ilala_majohe_kichangani","ilala_majohe",5,"Urban",4,0,NA,NA,NA
"ilala_majohe_kigezi","ilala_majohe",5,"Urban",4,0,NA,NA,NA
"ilala_majohe_kivule","ilala_majohe",5,"Urban",3,0,85,2017,140
"ilala_majohe_mgeule","ilala_majohe",5,"Urban",3,0,NA,NA,NA
"ilala_majohe_mjimpya","ilala_majohe",5,"Urban",3,2,NA,NA,NA
"ilala_majohe_nyeburu","ilala_majohe",5,"Urban",4,0,85,2017,118
"ilala_majohe_zavala","ilala_majohe",5,"Urban",2,0,NA,NA,NA
"ilala_mchafukoge_kitumbini","ilala_mchafukoge",5,"Urban",0,0,NA,NA,NA
"ilala_mchafukoge_mchafukoge","ilala_mchafukoge",5,"Urban",0,0,NA,NA,NA
"ilala_mchikichini_missionquarter","ilala_mchikichini",5,"Urban",0,1,NA,NA,NA
"ilala_msongola_kiboga","ilala_msongola",5,"Urban",0,0,NA,NA,NA
"ilala_msongola_kidole","ilala_msongola",5,"Urban",0,0,NA,NA,NA
"ilala_msongola_kitonga","ilala_msongola",5,"Urban",2,4,NA,NA,NA
"ilala_msongola_mbondole","ilala_msongola",5,"Urban",2,4,85,2017,624
"ilala_msongola_mkera","ilala_msongola",5,"Urban",5,0,NA,NA,NA
"ilala_msongola_sangara","ilala_msongola",5,"Urban",1,1,NA,NA,NA
"ilala_msongola_yangeyange","ilala_msongola",5,"Urban",2,3,NA,NA,NA
"ilala_pugu_bangulo","ilala_pugu",5,"Urban",2,0,NA,NA,NA
"ilala_pugu_bombani","ilala_pugu",5,"Urban",0,0,NA,NA,NA
"ilala_pugu_kichangani","ilala_pugu",5,"Urban",1,0,NA,NA,NA
"ilala_pugu_pugustation","ilala_pugu",5,"Urban",2,0,85,2017,308
"ilala_segerea_amani","ilala_segerea",5,"Urban",0,1,NA,NA,NA
"ilala_segerea_liwiti","ilala_segerea",5,"Urban",4,6,85,2017,52
"ilala_segerea_migombani","ilala_segerea",5,"Urban",2,0,NA,NA,NA
"ilala_segerea_segerea","ilala_segerea",5,"Urban",2,0,85,2017,68
"ilala_segerea_ugombolwa","ilala_segerea",5,"Urban",1,0,NA,NA,NA
"ilala_tabata_mandela","ilala_tabata",5,"Urban",0,0,NA,NA,NA
"ilala_tabata_matumbi","ilala_tabata",5,"Urban",1,0,NA,NA,NA
"ilala_tabata_msimbazi","ilala_tabata",5,"Urban",6,1,NA,NA,NA
"ilala_tabata_tabata","ilala_tabata",5,"Urban",3,0,85,2017,125
"ilala_tabata_tenge","ilala_tabata",5,"Urban",4,1,NA,NA,NA
"ilala_ukonga_markaz","ilala_ukonga",5,"Urban",2,0,NA,NA,NA
"ilala_ukonga_mazizini","ilala_ukonga",5,"Urban",1,0,85,2017,106
"ilala_ukonga_mongolandege","ilala_ukonga",5,"Urban",3,0,NA,NA,NA
"ilala_ukonga_mwembemadafu","ilala_ukonga",5,"Urban",2,0,NA,NA,NA
"ilala_upangamagharibi_mfaume","ilala_upangamagharibi",5,"Urban",1,0,85,2017,8
"ilala_upangamashariki_kibasila","ilala_upangamashariki",5,"Urban",0,0,85,2017,2
"ilala_upangamashariki_kitonga","ilala_upangamashariki",5,"Urban",3,0,NA,NA,NA
"ilala_vingunguti_kombo","ilala_vingunguti",5,"Urban",0,0,NA,NA,NA
"ilala_vingunguti_miembeni","ilala_vingunguti",5,"Urban",2,4,NA,NA,NA
"ilala_vingunguti_mtambani","ilala_vingunguti",5,"Urban",5,0,NA,NA,NA
"kibaha_bokomnemela_bokomnemela","kibaha_bokomnemela",3,"Rural",5,2,48,2013,74
"kibaha_bokomnemela_bokomnemela","kibaha_bokomnemela",4,"Rural",14,0,60,2014,68
"kibaha_bokomnemela_bokomnemela","kibaha_bokomnemela",5,"Rural",13,4,83,2016,112
"kibaha_bokomnemela_mkalambati","kibaha_bokomnemela",3,"Rural",0,0,48,2013,53
"kibaha_bokomnemela_mkalambati","kibaha_bokomnemela",4,"Rural",11,6,60,2014,64
"kibaha_bokomnemela_mkalambati","kibaha_bokomnemela",5,"Rural",5,0,83,2016,61
"kibaha_bokomnemela_mnemelakibaoni","kibaha_bokomnemela",3,"Rural",0,1,48,2013,48
"kibaha_bokomnemela_mnemelakibaoni","kibaha_bokomnemela",4,"Rural",8,4,60,2014,36
"kibaha_bokomnemela_mpiji","kibaha_bokomnemela",3,"Rural",6,2,48,2013,73
"kibaha_bokomnemela_mpiji","kibaha_bokomnemela",4,"Rural",3,0,60,2014,49
"kibaha_bokomnemela_mpiji","kibaha_bokomnemela",5,"Rural",3,1,83,2016,49
"kibaha_dutumi_dutumi","kibaha_dutumi",4,"Rural",12,2,60,2014,66
"kibaha_dutumi_dutumi","kibaha_dutumi",5,"Rural",16,9,83,2016,114
"kibaha_dutumi_madege","kibaha_dutumi",4,"Rural",6,4,60,2014,132
"kibaha_dutumi_madege","kibaha_dutumi",5,"Rural",11,7,83,2016,120
"kibaha_dutumi_mwembengozi","kibaha_dutumi",4,"Rural",4,6,60,2014,103
"kibaha_dutumi_mwembengozi","kibaha_dutumi",5,"Rural",17,12,83,2016,62
"kibaha_gwata_gumba","kibaha_gwata",3,"Rural",40,13,48,2013,68
"kibaha_gwata_gumba","kibaha_gwata",4,"Rural",18,4,60,2014,411
"kibaha_gwata_gumba","kibaha_gwata",5,"Rural",6,10,83,2016,190
"kibaha_gwata_gwata","kibaha_gwata",3,"Rural",34,12,48,2013,345
"kibaha_gwata_gwata","kibaha_gwata",4,"Rural",11,5,60,2014,359
"kibaha_gwata_gwata","kibaha_gwata",5,"Rural",62,32,83,2016,116
"kibaha_gwata_milalazi","kibaha_gwata",3,"Rural",9,2,48,2013,81
"kibaha_gwata_milalazi","kibaha_gwata",4,"Rural",7,3,60,2014,163
"kibaha_gwata_milalazi","kibaha_gwata",5,"Rural",20,8,83,2016,128
"kibaha_janga_janga","kibaha_janga",3,"Rural",1,0,48,2013,56
"kibaha_janga_janga","kibaha_janga",4,"Rural",15,7,60,2014,152
"kibaha_janga_janga","kibaha_janga",5,"Rural",20,4,83,2016,77
"kibaha_janga_kaloleni","kibaha_janga",3,"Rural",9,8,48,2013,47
"kibaha_janga_kaloleni","kibaha_janga",4,"Rural",14,7,60,2014,42
"kibaha_janga_kaloleni","kibaha_janga",5,"Rural",11,2,83,2016,38
"kibaha_janga_kimara","kibaha_janga",3,"Rural",5,3,48,2013,49
"kibaha_janga_kimara","kibaha_janga",4,"Rural",5,1,60,2014,52
"kibaha_janga_kimara","kibaha_janga",5,"Rural",4,1,83,2016,67
"kibaha_janga_makazimapya","kibaha_janga",3,"Rural",3,11,48,2013,58
"kibaha_janga_makazimapya","kibaha_janga",4,"Rural",17,4,60,2014,69
"kibaha_janga_makazimapya","kibaha_janga",5,"Rural",11,3,83,2016,53
"kibaha_janga_matuga","kibaha_janga",3,"Rural",2,3,48,2013,71
"kibaha_janga_matuga","kibaha_janga",4,"Rural",13,0,60,2014,27
"kibaha_janga_matuga","kibaha_janga",5,"Rural",17,2,83,2016,97
"kibaha_janga_msongola","kibaha_janga",4,"Rural",3,0,60,2014,77
"kibaha_janga_msongola","kibaha_janga",5,"Rural",10,1,83,2016,40
"kibaha_kikongo_kidai","kibaha_kikongo",3,"Rural",5,2,48,2013,46
"kibaha_kikongo_kidai","kibaha_kikongo",4,"Rural",3,6,60,2014,63
"kibaha_kikongo_kidai","kibaha_kikongo",5,"Rural",7,1,83,2016,57
"kibaha_kikongo_kikongo","kibaha_kikongo",4,"Rural",5,0,60,2014,29
"kibaha_kikongo_kikongo","kibaha_kikongo",5,"Rural",3,1,83,2016,46
"kibaha_kikongo_lupunga","kibaha_kikongo",4,"Rural",4,2,60,2014,21
"kibaha_kikongo_lupunga","kibaha_kikongo",5,"Rural",3,3,83,2016,23
"kibaha_kikongo_makotopora","kibaha_kikongo",3,"Rural",4,0,NA,NA,NA
"kibaha_kikongo_makotopora","kibaha_kikongo",4,"Rural",7,1,60,2014,18
"kibaha_kikongo_makotopora","kibaha_kikongo",5,"Rural",1,1,NA,NA,NA
"kibaha_kikongo_mkino","kibaha_kikongo",3,"Rural",3,1,NA,NA,NA
"kibaha_kikongo_mkino","kibaha_kikongo",4,"Rural",3,4,60,2014,26
"kibaha_kikongo_mkino","kibaha_kikongo",5,"Rural",4,2,83,2016,21
"kibaha_kikongo_mwanabwito","kibaha_kikongo",3,"Rural",4,0,48,2013,23
"kibaha_kikongo_mwanabwito","kibaha_kikongo",4,"Rural",16,5,60,2014,78
"kibaha_kikongo_mwanabwito","kibaha_kikongo",5,"Rural",5,1,83,2016,71
"kibaha_kikongo_ngeta","kibaha_kikongo",4,"Rural",5,0,60,2014,21
"kibaha_kilangalanga_disunyara","kibaha_kilangalanga",3,"Rural",9,0,48,2013,113
"kibaha_kilangalanga_disunyara","kibaha_kilangalanga",4,"Rural",15,0,60,2014,146
"kibaha_kilangalanga_disunyara","kibaha_kilangalanga",5,"Rural",18,3,83,2016,142
"kibaha_kilangalanga_kilangalanga","kibaha_kilangalanga",3,"Rural",5,0,48,2013,63
"kibaha_kilangalanga_kilangalanga","kibaha_kilangalanga",4,"Rural",2,1,60,2014,103
"kibaha_kilangalanga_kilangalanga","kibaha_kilangalanga",5,"Rural",17,8,83,2016,118
"kibaha_kilangalanga_kisabi","kibaha_kilangalanga",3,"Rural",8,0,48,2013,79
"kibaha_kilangalanga_kisabi","kibaha_kilangalanga",4,"Rural",15,9,60,2014,108
"kibaha_kilangalanga_kisabi","kibaha_kilangalanga",5,"Rural",5,4,83,2016,58
"kibaha_kilangalanga_madimla","kibaha_kilangalanga",3,"Rural",6,1,48,2013,71
"kibaha_kilangalanga_madimla","kibaha_kilangalanga",4,"Rural",7,5,60,2014,94
"kibaha_kwala_kwala","kibaha_kwala",3,"Rural",9,2,48,2013,255
"kibaha_kwala_kwala","kibaha_kwala",4,"Rural",40,7,60,2014,172
"kibaha_kwala_mperamumbi","kibaha_kwala",3,"Rural",22,3,48,2013,86
"kibaha_kwala_mperamumbi","kibaha_kwala",4,"Rural",6,17,60,2014,198
"kibaha_kwala_msua","kibaha_kwala",3,"Rural",5,2,48,2013,187
"kibaha_magindu_lukenge","kibaha_magindu",3,"Rural",52,13,48,2013,314
"kibaha_magindu_lukenge","kibaha_magindu",4,"Rural",13,11,60,2014,305
"kibaha_magindu_lukenge","kibaha_magindu",5,"Rural",23,10,83,2016,131
"kibaha_magindu_magindu","kibaha_magindu",3,"Rural",37,13,48,2013,142
"kibaha_magindu_magindu","kibaha_magindu",4,"Rural",19,3,60,2014,210
"kibaha_magindu_magindu","kibaha_magindu",5,"Rural",18,7,83,2016,275
"kibaha_magindu_mizuguni","kibaha_magindu",3,"Rural",43,10,48,2013,96
"kibaha_magindu_mizuguni","kibaha_magindu",4,"Rural",14,4,60,2014,328
"kibaha_magindu_mizuguni","kibaha_magindu",5,"Rural",20,7,83,2016,103
"kibaha_mlandizi_kibwende","kibaha_mlandizi",3,"Rural",4,2,48,2013,56
"kibaha_mlandizi_kibwende","kibaha_mlandizi",4,"Rural",3,12,60,2014,70
"kibaha_mlandizi_kitemvu","kibaha_mlandizi",3,"Rural",3,1,NA,NA,NA
"kibaha_mlandizi_kitemvu","kibaha_mlandizi",4,"Rural",17,1,60,2014,88
"kibaha_mlandizi_kitemvu","kibaha_mlandizi",5,"Rural",10,4,83,2016,36
"kibaha_mlandizi_kwadossa","kibaha_mlandizi",3,"Rural",9,2,48,2013,37
"kibaha_mlandizi_kwadossa","kibaha_mlandizi",4,"Rural",14,10,60,2014,65
"kibaha_mlandizi_mhande","kibaha_mlandizi",3,"Rural",8,1,48,2013,54
"kibaha_mlandizi_mhande","kibaha_mlandizi",4,"Rural",17,5,60,2014,75
"kibaha_mlandizi_mlandizikati","kibaha_mlandizi",3,"Rural",7,1,NA,NA,NA
"kibaha_mlandizi_mlandizikati","kibaha_mlandizi",5,"Rural",6,4,83,2016,44
"kibaha_mlandizi_mlandizimjini","kibaha_mlandizi",4,"Rural",2,1,60,2014,60
"kibaha_mlandizi_mlandizimjini","kibaha_mlandizi",5,"Rural",7,1,83,2016,86
"kibaha_mlandizi_msufini","kibaha_mlandizi",3,"Rural",10,3,48,2013,69
"kibaha_mlandizi_msufini","kibaha_mlandizi",4,"Rural",5,4,60,2014,74
"kibaha_mlandizi_msufini","kibaha_mlandizi",5,"Rural",7,2,83,2016,240
"kibaha_mlandizi_mtambani","kibaha_mlandizi",3,"Rural",13,2,48,2013,55
"kibaha_mlandizi_mtambani","kibaha_mlandizi",4,"Rural",8,6,60,2014,74
"kibaha_mlandizi_mtambani","kibaha_mlandizi",5,"Rural",7,3,83,2016,32
"kibaha_mlandizi_njiapandajeshini","kibaha_mlandizi",3,"Rural",5,2,48,2013,89
"kibaha_mlandizi_njiapandajeshini","kibaha_mlandizi",4,"Rural",16,8,60,2014,54
"kibaha_mlandizi_vikurutimjini","kibaha_mlandizi",3,"Rural",8,2,48,2013,110
"kibaha_mlandizi_vikurutimjini","kibaha_mlandizi",4,"Rural",5,0,60,2014,60
"kibaha_ruvu_kitomondo","kibaha_ruvu",3,"Rural",5,0,48,2013,143
"kibaha_ruvu_kitomondo","kibaha_ruvu",4,"Rural",20,16,60,2014,45
"kibaha_ruvu_minazimikinda","kibaha_ruvu",3,"Rural",4,0,48,2013,143
"kibaha_ruvu_minazimikinda","kibaha_ruvu",4,"Rural",34,10,60,2014,212
"kibaha_ruvu_ruvustation","kibaha_ruvu",3,"Rural",4,0,48,2013,156
"kibaha_ruvu_ruvustation","kibaha_ruvu",4,"Rural",21,6,60,2014,215
"kibaha_soga_kipangege","kibaha_soga",3,"Rural",5,2,NA,NA,NA
"kibaha_soga_kipangege","kibaha_soga",4,"Rural",5,3,60,2014,39
"kibaha_soga_kipangege","kibaha_soga",5,"Rural",10,6,83,2016,13
"kibaha_soga_misufini","kibaha_soga",3,"Rural",10,3,NA,NA,NA
"kibaha_soga_misufini","kibaha_soga",4,"Rural",7,1,60,2014,16
"kibaha_soga_soga","kibaha_soga",3,"Rural",16,2,NA,NA,NA
"kibaha_soga_soga","kibaha_soga",4,"Rural",0,0,60,2014,38
"kibaha_soga_soga","kibaha_soga",5,"Rural",5,7,83,2016,83
"kibaha_soga_vikuge","kibaha_soga",4,"Rural",3,5,60,2014,41
"kibahaurban_kibaha_kwamfipa","kibahaurban_kibaha",3,"Urban",8,2,47,2013,57
"kibahaurban_kibaha_kwamfipa","kibahaurban_kibaha",4,"Urban",5,2,60,2014,73
"kibahaurban_kibaha_kwamfipa","kibahaurban_kibaha",5,"Urban",9,3,84,2016,25
"kibahaurban_kibaha_mwendapolea","kibahaurban_kibaha",3,"Urban",7,1,47,2013,45
"kibahaurban_kibaha_mwendapolea","kibahaurban_kibaha",4,"Urban",4,0,60,2014,86
"kibahaurban_kibaha_mwendapolea","kibahaurban_kibaha",5,"Urban",4,4,84,2016,87
"kibahaurban_kibaha_mwendapoleb","kibahaurban_kibaha",3,"Urban",5,1,47,2013,105
"kibahaurban_kibaha_mwendapoleb","kibahaurban_kibaha",4,"Urban",4,1,60,2014,52
"kibahaurban_kibaha_mwendapoleb","kibahaurban_kibaha",5,"Urban",6,2,84,2016,74
"kibahaurban_kibaha_simbani","kibahaurban_kibaha",3,"Urban",5,2,47,2013,45
"kibahaurban_kibaha_simbani","kibahaurban_kibaha",4,"Urban",3,2,60,2014,36
"kibahaurban_kibaha_simbani","kibahaurban_kibaha",5,"Urban",3,8,84,2016,65
"kibahaurban_kongowe_bamba","kibahaurban_kongowe",3,"Urban",2,0,47,2013,40
"kibahaurban_kongowe_bamba","kibahaurban_kongowe",4,"Urban",4,2,60,2014,40
"kibahaurban_kongowe_bamba","kibahaurban_kongowe",5,"Urban",2,7,84,2016,44
"kibahaurban_kongowe_kongowekati","kibahaurban_kongowe",3,"Urban",3,1,47,2013,124
"kibahaurban_kongowe_kongowekati","kibahaurban_kongowe",4,"Urban",10,3,60,2014,80
"kibahaurban_kongowe_kongowekati","kibahaurban_kongowe",5,"Urban",3,3,84,2016,45
"kibahaurban_kongowe_miembesaba","kibahaurban_kongowe",3,"Urban",3,1,47,2013,63
"kibahaurban_kongowe_miembesaba","kibahaurban_kongowe",4,"Urban",6,3,60,2014,64
"kibahaurban_kongowe_miembesaba","kibahaurban_kongowe",5,"Urban",3,9,84,2016,97
"kibahaurban_kongowe_mikongeni","kibahaurban_kongowe",3,"Urban",9,3,47,2013,36
"kibahaurban_kongowe_mikongeni","kibahaurban_kongowe",4,"Urban",6,1,60,2014,40
"kibahaurban_kongowe_mikongeni","kibahaurban_kongowe",5,"Urban",10,3,84,2016,42
"kibahaurban_kongowe_mwambisi","kibahaurban_kongowe",3,"Urban",3,1,47,2013,135
"kibahaurban_kongowe_mwambisi","kibahaurban_kongowe",4,"Urban",10,1,60,2014,74
"kibahaurban_kongowe_mwambisi","kibahaurban_kongowe",5,"Urban",7,4,84,2016,134
"kibahaurban_kongowe_sagare","kibahaurban_kongowe",3,"Urban",11,4,47,2013,17
"kibahaurban_kongowe_sagare","kibahaurban_kongowe",4,"Urban",5,2,60,2014,30
"kibahaurban_kongowe_sagare","kibahaurban_kongowe",5,"Urban",4,3,84,2016,56
"kibahaurban_kongowe_ungindoni","kibahaurban_kongowe",3,"Urban",6,3,47,2013,29
"kibahaurban_kongowe_ungindoni","kibahaurban_kongowe",4,"Urban",4,1,60,2014,17
"kibahaurban_kongowe_ungindoni","kibahaurban_kongowe",5,"Urban",13,5,84,2016,85
"kibahaurban_kongowe_viziwaziwa","kibahaurban_kongowe",3,"Urban",4,2,47,2013,55
"kibahaurban_kongowe_viziwaziwa","kibahaurban_kongowe",4,"Urban",6,2,60,2014,52
"kibahaurban_kongowe_viziwaziwa","kibahaurban_kongowe",5,"Urban",10,4,84,2016,43
"kibahaurban_mailimoja_machinjioni","kibahaurban_mailimoja",3,"Urban",23,8,47,2013,58
"kibahaurban_mailimoja_machinjioni","kibahaurban_mailimoja",4,"Urban",5,1,60,2014,142
"kibahaurban_mailimoja_machinjioni","kibahaurban_mailimoja",5,"Urban",5,2,84,2016,41
"kibahaurban_mailimoja_mailimoja","kibahaurban_mailimoja",3,"Urban",39,9,47,2013,61
"kibahaurban_mailimoja_mailimoja","kibahaurban_mailimoja",4,"Urban",15,10,60,2014,92
"kibahaurban_mailimoja_mailimoja","kibahaurban_mailimoja",5,"Urban",7,2,84,2016,600
"kibahaurban_mailimoja_muheza","kibahaurban_mailimoja",3,"Urban",16,3,47,2013,45
"kibahaurban_mailimoja_muheza","kibahaurban_mailimoja",4,"Urban",3,2,60,2014,45
"kibahaurban_mailimoja_muheza","kibahaurban_mailimoja",5,"Urban",7,3,84,2016,28
"kibahaurban_mailimoja_tangini","kibahaurban_mailimoja",3,"Urban",14,8,47,2013,136
"kibahaurban_mailimoja_tangini","kibahaurban_mailimoja",4,"Urban",5,2,60,2014,158
"kibahaurban_mailimoja_tangini","kibahaurban_mailimoja",5,"Urban",3,4,84,2016,68
"kibahaurban_mailimoja_uyaoni","kibahaurban_mailimoja",3,"Urban",12,4,47,2013,102
"kibahaurban_mailimoja_uyaoni","kibahaurban_mailimoja",4,"Urban",4,1,60,2014,150
"kibahaurban_mailimoja_uyaoni","kibahaurban_mailimoja",5,"Urban",4,3,84,2016,47
"kibahaurban_mbwawa_mbwawa","kibahaurban_mbwawa",3,"Urban",13,4,47,2013,50
"kibahaurban_mbwawa_mbwawa","kibahaurban_mbwawa",4,"Urban",6,3,60,2014,64
"kibahaurban_mbwawa_mbwawa","kibahaurban_mbwawa",5,"Urban",7,1,84,2016,23
"kibahaurban_mbwawa_miswechini","kibahaurban_mbwawa",3,"Urban",10,2,47,2013,31
"kibahaurban_mbwawa_miswechini","kibahaurban_mbwawa",4,"Urban",4,2,60,2014,15
"kibahaurban_mbwawa_miswechini","kibahaurban_mbwawa",5,"Urban",6,2,84,2016,47
"kibahaurban_mbwawa_miswemwembemaduka","kibahaurban_mbwawa",3,"Urban",8,1,47,2013,47
"kibahaurban_mbwawa_miswemwembemaduka","kibahaurban_mbwawa",4,"Urban",11,4,60,2014,52
"kibahaurban_mbwawa_miswemwembemaduka","kibahaurban_mbwawa",5,"Urban",6,1,84,2016,51
"kibahaurban_mbwawa_mkoleni","kibahaurban_mbwawa",3,"Urban",6,2,47,2013,44
"kibahaurban_mbwawa_mkoleni","kibahaurban_mbwawa",4,"Urban",5,2,60,2014,23
"kibahaurban_mbwawa_mkoleni","kibahaurban_mbwawa",5,"Urban",7,3,84,2016,27
"kibahaurban_misugusugu_jonungha","kibahaurban_misugusugu",3,"Urban",11,0,47,2013,33
"kibahaurban_misugusugu_jonungha","kibahaurban_misugusugu",4,"Urban",7,2,60,2014,13
"kibahaurban_misugusugu_jonungha","kibahaurban_misugusugu",5,"Urban",2,5,84,2016,162
"kibahaurban_misugusugu_karabaka","kibahaurban_misugusugu",3,"Urban",0,2,47,2013,49
"kibahaurban_misugusugu_karabaka","kibahaurban_misugusugu",4,"Urban",4,1,60,2014,66
"kibahaurban_misugusugu_karabaka","kibahaurban_misugusugu",5,"Urban",13,6,84,2016,58
"kibahaurban_misugusugu_misugusugu","kibahaurban_misugusugu",3,"Urban",8,1,47,2013,38
"kibahaurban_misugusugu_misugusugu","kibahaurban_misugusugu",4,"Urban",8,4,60,2014,32
"kibahaurban_misugusugu_misugusugu","kibahaurban_misugusugu",5,"Urban",5,1,84,2016,44
"kibahaurban_misugusugu_miyomboni","kibahaurban_misugusugu",3,"Urban",4,2,47,2013,52
"kibahaurban_misugusugu_miyomboni","kibahaurban_misugusugu",4,"Urban",2,3,60,2014,66
"kibahaurban_misugusugu_miyomboni","kibahaurban_misugusugu",5,"Urban",5,1,84,2016,45
"kibahaurban_misugusugu_saeni","kibahaurban_misugusugu",3,"Urban",4,0,47,2013,40
"kibahaurban_misugusugu_saeni","kibahaurban_misugusugu",4,"Urban",4,1,60,2014,37
"kibahaurban_misugusugu_saeni","kibahaurban_misugusugu",5,"Urban",5,1,84,2016,72
"kibahaurban_misugusugu_zogowale","kibahaurban_misugusugu",3,"Urban",10,4,47,2013,19
"kibahaurban_misugusugu_zogowale","kibahaurban_misugusugu",4,"Urban",2,0,60,2014,28
"kibahaurban_misugusugu_zogowale","kibahaurban_misugusugu",5,"Urban",13,2,84,2016,81
"kibahaurban_mkuza_bungo","kibahaurban_mkuza",3,"Urban",20,8,47,2013,36
"kibahaurban_mkuza_bungo","kibahaurban_mkuza",4,"Urban",7,2,60,2014,47
"kibahaurban_mkuza_bungo","kibahaurban_mkuza",5,"Urban",9,4,84,2016,34
"kibahaurban_mkuza_kibondeni","kibahaurban_mkuza",3,"Urban",7,2,47,2013,168
"kibahaurban_mkuza_kibondeni","kibahaurban_mkuza",4,"Urban",14,4,60,2014,160
"kibahaurban_mkuza_kibondeni","kibahaurban_mkuza",5,"Urban",12,4,84,2016,55
"kibahaurban_mkuza_mkuza","kibahaurban_mkuza",3,"Urban",11,6,47,2013,278
"kibahaurban_mkuza_mkuza","kibahaurban_mkuza",4,"Urban",20,6,60,2014,263
"kibahaurban_mkuza_mkuza","kibahaurban_mkuza",5,"Urban",2,1,84,2016,302
"kibahaurban_msangani_galagaza","kibahaurban_msangani",3,"Urban",43,4,47,2013,50
"kibahaurban_msangani_galagaza","kibahaurban_msangani",4,"Urban",10,3,60,2014,65
"kibahaurban_msangani_galagaza","kibahaurban_msangani",5,"Urban",5,4,84,2016,82
"kibahaurban_msangani_kidenge","kibahaurban_msangani",3,"Urban",32,5,47,2013,84
"kibahaurban_msangani_kidenge","kibahaurban_msangani",4,"Urban",7,2,60,2014,45
"kibahaurban_msangani_kidenge","kibahaurban_msangani",5,"Urban",11,5,84,2016,112
"kibahaurban_msangani_kumba","kibahaurban_msangani",3,"Urban",28,2,47,2013,17
"kibahaurban_msangani_kumba","kibahaurban_msangani",4,"Urban",2,1,60,2014,28
"kibahaurban_msangani_kumba","kibahaurban_msangani",5,"Urban",11,2,84,2016,39
"kibahaurban_msangani_msangani","kibahaurban_msangani",3,"Urban",39,14,47,2013,53
"kibahaurban_msangani_msangani","kibahaurban_msangani",4,"Urban",7,3,60,2014,74
"kibahaurban_msangani_msangani","kibahaurban_msangani",5,"Urban",11,6,84,2016,63
"kibahaurban_pangani_kidimu","kibahaurban_pangani",3,"Urban",6,1,47,2013,82
"kibahaurban_pangani_kidimu","kibahaurban_pangani",4,"Urban",3,3,60,2014,81
