"Correct_Village","Correct_Ward","Correct_District","Correct_Region","dateVaccination","Dogs"
"temeke_vijibweni_kibene","Vijibweni","Temeke","Dar-es-salaam",2010-04-20,30
"temeke_yombovituka_yombovituka","Yombo Vituka","Temeke","Dar-es-salaam",2010-04-20,84
"temeke_chamazi_kisewe","Chamazi","Temeke","Dar-es-salaam",2010-04-21,52
"temeke_charambe_majimatitub","Charambe","Temeke","Dar-es-salaam",2010-04-21,12
"temeke_kijichi_misheni","Kijichi","Temeke","Dar-es-salaam",2010-04-21,8
"temeke_mbagala_bughudadi","Mbagala","Temeke","Dar-es-salaam",2010-04-21,19
"temeke_mbagala_kizinga","Mbagala","Temeke","Dar-es-salaam",2010-04-21,23
"temeke_mbagala_mangaya","Mbagala","Temeke","Dar-es-salaam",2010-04-21,22
"temeke_mbagala_mbagala","Mbagala","Temeke","Dar-es-salaam",2010-04-21,42
"temeke_mianzini_mianzini","Mianzini","Temeke","Dar-es-salaam",2010-04-21,24
"temeke_mjimwema_ungindoni","Mjimwema","Temeke","Dar-es-salaam",2010-04-21,25
"temeke_pembamnazi_punacentre","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-21,13
"temeke_somangila_minondo","Somangila","Temeke","Dar-es-salaam",2010-04-21,11
"temeke_somangila_shirikisho","Somangila","Temeke","Dar-es-salaam",2010-04-21,58
"temeke_toangoma_mikwambe","Toangoma","Temeke","Dar-es-salaam",2010-04-21,44
"temeke_tungi_magogoni","Tungi","Temeke","Dar-es-salaam",2010-04-21,42
"temeke_chamazi_magengeni","Chamazi","Temeke","Dar-es-salaam",2010-04-22,20
"temeke_kisaraweii_lingato","Kisarawe II","Temeke","Dar-es-salaam",2010-04-22,23
"temeke_mjimwema_ungindoni","Mjimwema","Temeke","Dar-es-salaam",2010-04-22,13
"temeke_pembamnazi_chambewa","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-22,17
"temeke_pembamnazi_kibungo","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-22,15
"temeke_somangila_kichangani","Somangila","Temeke","Dar-es-salaam",2010-04-23,55
"temeke_somangila_mwanzomgumu","Somangila","Temeke","Dar-es-salaam",2010-04-23,62
"temeke_pembamnazi_gulubwida","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-24,12
"temeke_pembamnazi_songani","Pemba Mnazi","Temeke","Dar-es-salaam",2010-04-25,22
"ulanga_mahenge_mahenge","Mahenge","Ulanga","Morogoro",2010-05-02,77
"ulanga_vigoi_epanko","Vigoi","Ulanga","Morogoro",2010-05-03,70
"ulanga_vigoi_makanga","Vigoi","Ulanga","Morogoro",2010-05-03,182
"ulanga_vigoi_mbagula","Vigoi","Ulanga","Morogoro",2010-05-03,58
"ulanga_vigoi_nawenge","Vigoi","Ulanga","Morogoro",2010-05-03,143
"ulanga_vigoi_vigoi","Vigoi","Ulanga","Morogoro",2010-05-03,63
"ulanga_isongo_isongo","Isongo","Ulanga","Morogoro",2010-05-04,200
"ulanga_isongo_uponera","Isongo","Ulanga","Morogoro",2010-05-04,60
"ulanga_msogezi_chikuti","Msogezi","Ulanga","Morogoro",2010-05-05,74
"ulanga_msogezi_mdindo","Msogezi","Ulanga","Morogoro",2010-05-05,59
"ulanga_msogezi_msogezi","Msogezi","Ulanga","Morogoro",2010-05-05,75
"ulanga_ilonga_chigandugandu","Ilonga","Ulanga","Morogoro",2010-05-06,11
"ulanga_ilonga_ketaketa","Ilonga","Ulanga","Morogoro",2010-05-06,15
"ulanga_ilonga_luhombero","Ilonga","Ulanga","Morogoro",2010-05-06,28
"ulanga_lukande_gombe","Lukande","Ulanga","Morogoro",2010-05-07,38
"ulanga_lukande_lukande","Lukande","Ulanga","Morogoro",2010-05-07,26
"ulanga_mwaya_mwaya","Mwaya","Ulanga","Morogoro",2010-05-07,35
"ulanga_mwaya_nkongo","Mwaya","Ulanga","Morogoro",2010-05-07,26
"ulanga_chirombola_chirombola","Chirombola","Ulanga","Morogoro",2010-05-08,14
"ulanga_chirombola_mzelezi","Chirombola","Ulanga","Morogoro",2010-05-08,53
"ulanga_euga_ebuyu","Euga","Ulanga","Morogoro",2010-05-08,25
"ulanga_euga_euga","Euga","Ulanga","Morogoro",2010-05-08,10
"ulanga_mbuga_iputi","Mbuga","Ulanga","Morogoro",2010-05-08,4
"ulanga_mbuga_mbuga","Mbuga","Ulanga","Morogoro",2010-05-08,22
"ulanga_ruaha_kituti","Ruaha","Ulanga","Morogoro",2010-05-09,39
"ulanga_ruaha_mgolo","Ruaha","Ulanga","Morogoro",2010-05-09,25
"ulanga_ruaha_ruaha","Ruaha","Ulanga","Morogoro",2010-05-09,87
"ulanga_sali_isyaga","Sali","Ulanga","Morogoro",2010-05-09,48
"ulanga_sali_sali","Sali","Ulanga","Morogoro",2010-05-09,55
"ulanga_malinyi_kipingo","Malinyi","Ulanga","Morogoro",2010-05-10,110
"ulanga_malinyi_malinyi","Malinyi","Ulanga","Morogoro",2010-05-10,35
"ulanga_malinyi_misegese","Malinyi","Ulanga","Morogoro",2010-05-10,84
"ulanga_malinyi_igawa","Malinyi","Ulanga","Morogoro",2010-05-11,72
"ulanga_malinyi_lugala","Malinyi","Ulanga","Morogoro",2010-05-11,96
"ulanga_itete_minazini","Itete","Ulanga","Morogoro",2010-05-14,96
"ulanga_itete_njiwa","Itete","Ulanga","Morogoro",2010-05-14,154
"ulanga_lupiro_milola","Lupiro","Ulanga","Morogoro",2010-05-15,87
"ulanga_mtimbira_kipenyo","Mtimbira","Ulanga","Morogoro",2010-05-15,51
"ulanga_mtimbira_madibira","Mtimbira","Ulanga","Morogoro",2010-05-15,21
"ulanga_mtimbira_mtimbira","Mtimbira","Ulanga","Morogoro",2010-05-15,23
"ulanga_mtimbira_munga","Mtimbira","Ulanga","Morogoro",2010-05-15,11
"ulanga_usangule_usangule","Usangule","Ulanga","Morogoro",2010-05-15,107
"ulanga_sofi_kiswago","Sofi","Ulanga","Morogoro",2010-05-16,44
"ulanga_sofi_majiji","Sofi","Ulanga","Morogoro",2010-05-16,65
"ulanga_sofi_sofimission","Sofi","Ulanga","Morogoro",2010-05-16,95
"ulanga_usangule_kalangakelo","Usangule","Ulanga","Morogoro",2010-05-16,116
"ulanga_kichangani_idunda","Kichangani","Ulanga","Morogoro",2010-05-17,81
"ulanga_kichangani_kichangani","Kichangani","Ulanga","Morogoro",2010-05-17,48
"ulanga_lupiro_igota","Lupiro","Ulanga","Morogoro",2010-05-17,20
"ulanga_lupiro_lupiro","Lupiro","Ulanga","Morogoro",2010-05-17,71
"ulanga_lupiro_nakafulu","Lupiro","Ulanga","Morogoro",2010-05-18,13
"ulanga_minepa_kivukoni","Minepa","Ulanga","Morogoro",2010-05-19,197
"ulanga_minepa_mavimba","Minepa","Ulanga","Morogoro",2010-05-19,43
"ulanga_minepa_minepa","Minepa","Ulanga","Morogoro",2010-05-19,40
"ulanga_iragua_iragua","Iragua","Ulanga","Morogoro",2010-05-20,109
"ulanga_iragua_kidugalo","Iragua","Ulanga","Morogoro",2010-05-20,131
"morogoro_tawa_milawilila","Tawa","Morogoro","Morogoro",2010-07-02,28
"morogoro_kibungojuu_dimilo","Kibungo Juu","Morogoro","Morogoro",2010-07-06,36
"morogoro_ngerengere_ngerengere","Ngerengere","Morogoro","Morogoro",2010-07-10,18
"morogoro_tegetero_bagiro","Tegetero","Morogoro","Morogoro",2010-07-12,7
"kilombero_kidatu_kidatu","Kidatu","Kilombero","Morogoro",2010-07-15,74
"kilombero_kidatu_mkamba","Kidatu","Kilombero","Morogoro",2010-07-15,146
"kilombero_kidatu_msolwastation","Kidatu","Kilombero","Morogoro",2010-07-15,84
"kilombero_sanje_msolwaujamaa","Sanje","Kilombero","Morogoro",2010-07-15,62
"kilombero_sanje_sanje","Sanje","Kilombero","Morogoro",2010-07-15,20
"kilombero_mkula_magombera","Mkula","Kilombero","Morogoro",2010-07-16,30
"kilombero_mkula_msufini","Mkula","Kilombero","Morogoro",2010-07-16,5
"kilombero_mkula_sole","Mkula","Kilombero","Morogoro",2010-07-16,11
"kilombero_mkula_katurukila","Mkula  ","Kilombero","Morogoro",2010-07-16,30
"kilombero_mangula_kanyenja","Mang'ula","Kilombero","Morogoro",2010-07-17,12
"kilombero_mangula_mhelule","Mang'ula","Kilombero","Morogoro",2010-07-17,18
"kilombero_mangula_mikoleko","Mang'ula","Kilombero","Morogoro",2010-07-17,19
"kilombero_mangula_msalise","Mang'ula","Kilombero","Morogoro",2010-07-17,22
"morogoro_kinole_lungala","Kinole","Morogoro","Morogoro",2010-07-17,16
"morogoro_konde_konde","Konde","Morogoro","Morogoro",2010-07-17,98
"morogoro_matuli_diguzi","Matuli","Morogoro","Morogoro",2010-07-17,48
"morogoro_mngazi_sesenga","Mngazi","Morogoro","Morogoro",2010-07-17,19
"morogoro_tawa_uponda","Tawa","Morogoro","Morogoro",2010-07-17,33
"morogoro_kidugalo_serengetia","Kidugalo","Morogoro","Morogoro",2010-07-18,57
"morogoro_kinole_amini","Kinole","Morogoro","Morogoro",2010-07-18,60
"morogoro_kisemu_nige","Kisemu","Morogoro","Morogoro",2010-07-18,61
"morogoro_mngazi_milengwelengwe","Mngazi","Morogoro","Morogoro",2010-07-18,32
"morogoro_ngerengere_ngerengere","Ngerengere","Morogoro","Morogoro",2010-07-18,114
"morogoro_ngerengere_sinyaulime","Ngerengere","Morogoro","Morogoro",2010-07-18,51
"kilombero_kisawasawa_ichonde","Kisawasawa  ","Kilombero","Morogoro",2010-07-19,28
"kilombero_mangula_mangulab","Mang'ula","Kilombero","Morogoro",2010-07-19,53
"kilombero_mangula_mgudeni","Mang'ula","Kilombero","Morogoro",2010-07-19,18
"morogoro_kinole_kalundwa","Kinole","Morogoro","Morogoro",2010-07-19,36
"morogoro_kinole_tandai","Kinole","Morogoro","Morogoro",2010-07-19,25
"morogoro_matuli_matuli","Matuli","Morogoro","Morogoro",2010-07-19,91
"morogoro_mngazi_vigolegole","Mngazi","Morogoro","Morogoro",2010-07-19,3800
"morogoro_mvuha_dala","Mvuha","Morogoro","Morogoro",2010-07-19,19
"morogoro_mvuha_msonge","Mvuha","Morogoro","Morogoro",2010-07-19,19
"morogoro_tawa_kitungwa","Tawa","Morogoro","Morogoro",2010-07-19,33
"morogoro_tawa_tawa","Tawa","Morogoro","Morogoro",2010-07-19,16
"kilombero_mangula_mangulaa","Mang'ula","Kilombero","Morogoro",2010-07-20,64
"kilombero_mangula_mwaya","Mang'ula","Kilombero","Morogoro",2010-07-20,4
"kilombero_mkula_sonjo","Mkula","Kilombero","Morogoro",2010-07-20,9
"morogoro_kinole_tandai","Kinole","Morogoro","Morogoro",2010-07-20,9
"kilombero_kisawasawa_kisawasawa","Kisawasawa","Kilombero","Morogoro",2010-07-21,37
"kilombero_kisawasawa_mpanga","Kisawasawa","Kilombero","Morogoro",2010-07-21,43
"kilombero_kisawasawa_kanolo","Kisawasawa  ","Kilombero","Morogoro",2010-07-21,13
"kilombero_chisano_mgugwe","Chisano","Kilombero","Morogoro",2010-07-22,31
"kilombero_chisano_chisano","Chisano  ","Kilombero","Morogoro",2010-07-22,33
"kilombero_chita_merera","Chita","Kilombero","Morogoro",2010-07-22,40
"kilombero_chita_udagaji","Chita","Kilombero","Morogoro",2010-07-22,38
"kilombero_chita_chita","Chita  ","Kilombero","Morogoro",2010-07-22,148
"kilombero_idete_kisegese","Idete","Kilombero","Morogoro",2010-07-22,63
"kilombero_idete_miwangani","Idete","Kilombero","Morogoro",2010-07-22,74
"kilombero_idete_namwawala","Idete","Kilombero","Morogoro",2010-07-22,132
"kilombero_idete_idete","Idete  ","Kilombero","Morogoro",2010-07-22,109
"kilombero_ifakara_ifakara","Ifakara  ","Kilombero","Morogoro",2010-07-22,24
"kilombero_kiberege_kiberege","Kiberege","Kilombero","Morogoro",2010-07-22,101
"kilombero_kiberege_mkasu","Kiberege","Kilombero","Morogoro",2010-07-22,55
"kilombero_kiberege_siginali","Kiberege","Kilombero","Morogoro",2010-07-22,116
"kilombero_lumemo_kiningina","Lumemo","Kilombero","Morogoro",2010-07-22,39
"kilombero_lumemo_lumemo","Lumemo","Kilombero","Morogoro",2010-07-22,86
"kilombero_lumemo_machipi","Lumemo","Kilombero","Morogoro",2010-07-22,28
"kilombero_lumemo_mahutanga","Lumemo","Kilombero","Morogoro",2010-07-22,41
"kilombero_lumemo_michenga","Lumemo","Kilombero","Morogoro",2010-07-22,53
"kilombero_lumemo_ihanga","Lumemo  ","Kilombero","Morogoro",2010-07-22,91
"kilombero_masagati_taweta","Masagati","Kilombero","Morogoro",2010-07-22,34
"kilombero_masagati_ipinde","Masagati  ","Kilombero","Morogoro",2010-07-22,56
"kilombero_mbingu_mbingu","Mbingu","Kilombero","Morogoro",2010-07-22,116
"kilombero_mbingu_mpofu","Mbingu","Kilombero","Morogoro",2010-07-22,105
"kilombero_mbingu_igima","Mbingu  ","Kilombero","Morogoro",2010-07-22,90
"kilombero_mchombe_lukolongo","Mchombe","Kilombero","Morogoro",2010-07-22,16
"kilombero_mchombe_mchombe","Mchombe","Kilombero","Morogoro",2010-07-22,78
"kilombero_mchombe_mkangawalo","Mchombe","Kilombero","Morogoro",2010-07-22,97
"kilombero_mchombe_mngeta","Mchombe","Kilombero","Morogoro",2010-07-22,124
"kilombero_mchombe_njagi","Mchombe","Kilombero","Morogoro",2010-07-22,66
"kilombero_mchombe_ikule","Mchombe  ","Kilombero","Morogoro",2010-07-22,43
"kilombero_mlimba_matema","Mlimba","Kilombero","Morogoro",2010-07-22,162
"kilombero_mlimba_mlimbaa","Mlimba","Kilombero","Morogoro",2010-07-22,131
"kilombero_mlimba_mlimbab","Mlimba","Kilombero","Morogoro",2010-07-22,114
"kilombero_mlimba_msolwa","Mlimba","Kilombero","Morogoro",2010-07-22,57
"kilombero_mlimba_mwembeni","Mlimba","Kilombero","Morogoro",2010-07-22,47
"kilombero_mlimba_viwanjasitini","Mlimba","Kilombero","Morogoro",2010-07-22,63
"kilombero_mlimba_kalengakelu","Mlimba  ","Kilombero","Morogoro",2010-07-22,139
"kilombero_mlimba_kamwene","Mlimba  ","Kilombero","Morogoro",2010-07-22,46
"kilombero_mofu_mofu","Mofu","Kilombero","Morogoro",2010-07-22,117
"kilombero_mofu_ikwambi","Mofu  ","Kilombero","Morogoro",2010-07-22,25
"kilombero_uchindile_uchindile","Uchindile","Kilombero","Morogoro",2010-07-22,217
"kilombero_utengule_mpanga","Utengule","Kilombero","Morogoro",2010-07-22,83
"kilombero_utengule_ngalimila","Utengule","Kilombero","Morogoro",2010-07-22,62
"kilombero_utengule_utengule","Utengule","Kilombero","Morogoro",2010-07-22,65
"morogoro_ngerengere_kiwege","Ngerengere","Morogoro","Morogoro",2010-07-22,64
"kilombero_kibaoni_kikwawila","Kibaoni","Kilombero","Morogoro",2010-07-23,58
"kilombero_kibaoni_lungongole","Kibaoni","Kilombero","Morogoro",2010-07-23,37
"kilombero_kiberege_sagamaganga","Kiberege","Kilombero","Morogoro",2010-07-23,71
"kilombero_kibaoni_kilama","Kibaoni","Kilombero","Morogoro",2010-07-24,86
"kilombero_kibaoni_mbasa","Kibaoni","Kilombero","Morogoro",2010-07-24,58
"kilombero_kibaoni_kibaoni","Kibaoni  ","Kilombero","Morogoro",2010-07-24,195
"kilombero_ifakara_mlabani","Ifakara","Kilombero","Morogoro",2010-07-26,65
"kilombero_ifakara_viwanjasitini","Ifakara","Kilombero","Morogoro",2010-07-26,33
"kilombero_ifakara_katindiuka","Ifakara  ","Kilombero","Morogoro",2010-07-26,14
"kilombero_mkula_mkula","Mkula","Kilombero","Morogoro",2010-07-26,9
"morogoro_matuli_kwamba","Matuli","Morogoro","Morogoro",2010-07-26,19
"morogoro_matuli_kwamba","Matuli","Morogoro","Morogoro",2010-07-27,17
"morogoro_matuli_matuli","Matuli","Morogoro","Morogoro",2010-07-27,38
"ilala_upangamashariki_kibasila","Upanga Mashariki","Ilala","Dar-es-salaam",2010-07-28,1986
"kinondoni_kibamba_gogoni","Kibamba","Kinondoni","Dar-es-salaam",2010-07-28,2000
"morogoro_ngerengere_sinyaulime","Ngerengere","Morogoro","Morogoro",2010-07-28,18
"morogorourban_kilakala_kilakala","Kilakala","Morogoro Urban","Morogoro",2010-07-28,3150
"kilombero_ifakara_lipangalala","Ifakara","Kilombero","Morogoro",2010-07-29,86
"morogoro_matuli_kwamba","Matuli","Morogoro","Morogoro",2010-07-30,38
"lindirural_nyangamara_liputi","Nyangamara","Lindi Rural","Lindi",2011-02-01,6
"lindirural_nyangamara_madingo","Nyangamara","Lindi Rural","Lindi",2011-02-01,9
"lindiurban_mingoyo_mkwaya","Mingoyo","Lindi Urban","Lindi",2011-02-01,20
"liwale_makata_makata","Makata","Liwale","Lindi",2011-02-01,15
"liwale_mkutano_mkutano","Mkutano","Liwale","Lindi",2011-02-01,3
"liwale_nangando_nangando","Nangando","Liwale","Lindi",2011-02-01,38
"liwale_ngongowele_mikuyu","Ngongowele","Liwale","Lindi",2011-02-01,14
"liwale_ngongowele_ngongowele","Ngongowele","Liwale","Lindi",2011-02-01,2
"liwale_ngongowele_ngunja","Ngongowele","Liwale","Lindi",2011-02-01,16
"nachingwea_chiola_chingunduli","Chiola","Nachingwea","Lindi",2011-02-01,10
"nachingwea_chiola_chiola","Chiola","Nachingwea","Lindi",2011-02-01,32
"nachingwea_nambambo_nachingwea","Nambambo","Nachingwea","Lindi",2011-02-01,32
"nachingwea_nditi_nyambib","Nditi","Nachingwea","Lindi",2011-02-01,14
"ruangwa_chunyu_mihewe","Chunyu","Ruangwa","Lindi",2011-02-01,4
"ruangwa_chunyu_namikulo","Chunyu","Ruangwa","Lindi",2011-02-01,2
"ruangwa_likunja_likunja","Likunja","Ruangwa","Lindi",2011-02-01,5
"ruangwa_likunja_mpara","Likunja","Ruangwa","Lindi",2011-02-01,8
"mtwararural_kitere_chekeleni","Kitere","Mtwara Rural","Mtwara",2011-02-01,4
"mtwararural_libobe_libobeb","Libobe","Mtwara Rural","Mtwara",2011-02-01,19
"mtwararural_mayanga_msijute","Mayanga","Mtwara Rural","Mtwara",2011-02-01,16
"mtwararural_ndumbwe_ndumbwe","Ndumbwe","Mtwara Rural","Mtwara",2011-02-01,50
"lindiurban_mtanda_mtandajuu","Mtanda","Lindi Urban","Lindi",2011-02-02,45
"ruangwa_mbekenyera_namilema","Mbekenyera","Ruangwa","Lindi",2011-02-02,3
"ruangwa_namichiga_namkonjera","Namichiga","Ruangwa","Lindi",2011-02-02,9
"ruangwa_nandagala_nandagalaa","Nandagala","Ruangwa","Lindi",2011-02-02,2
"mtwararural_dihimba_dihimba","Dihimba","Mtwara Rural","Mtwara",2011-02-02,11
"mtwararural_tangazo_kilambo","Tangazo","Mtwara Rural","Mtwara",2011-02-02,11
"lindirural_navanga_mongomongo","Navanga","Lindi Rural","Lindi",2011-02-03,33
"liwale_barikiwa_barikiwa","Barikiwa","Liwale","Lindi",2011-02-03,12
"liwale_kiangara_kiangara","Kiangara","Liwale","Lindi",2011-02-03,23
"liwale_kiangara_mtawatawa","Kiangara","Liwale","Lindi",2011-02-03,4
"liwale_kibutuka_kibutuka","Kibutuka","Liwale","Lindi",2011-02-03,18
"liwale_kichonda_kichonda","Kichonda","Liwale","Lindi",2011-02-03,11
"liwale_kichonda_mbuli","Kichonda","Liwale","Lindi",2011-02-03,3
"liwale_kichonda_nyera","Kichonda","Liwale","Lindi",2011-02-03,4
"liwale_kimambi_kimambi","Kimambi","Liwale","Lindi",2011-02-03,1
"liwale_likongowele_likongowele","Likongowele","Liwale","Lindi",2011-02-03,13
"liwale_liwaleb_liwaleb","Liwale 'B'","Liwale","Lindi",2011-02-03,35
"liwale_liwaleb_mahonga","Liwale 'B'","Liwale","Lindi",2011-02-03,9
"liwale_liwaleb_mikunya","Liwale 'B'","Liwale","Lindi",2011-02-03,8
"liwale_liwaleb_tuungane","Liwale 'B'","Liwale","Lindi",2011-02-03,9
"liwale_makata_mpengere","Makata","Liwale","Lindi",2011-02-03,9
"liwale_mangirikiti_mangirikiti","Mangirikiti","Liwale","Lindi",2011-02-03,32
"liwale_mihumo_darajani","Mihumo","Liwale","Lindi",2011-02-03,20
"liwale_mihumo_mihumo","Mihumo","Liwale","Lindi",2011-02-03,9
"liwale_mirui_mirui","Mirui","Liwale","Lindi",2011-02-03,3
"liwale_mpigamiti_mpigamiti","Mpigamiti","Liwale","Lindi",2011-02-03,18
"liwale_mpigamiti_namakololo","Mpigamiti","Liwale","Lindi",2011-02-03,14
"ruangwa_chunyu_namikulo","Chunyu","Ruangwa","Lindi",2011-02-03,2
"lindirural_kilolambwani_mvulenib","Kilolambwani","Lindi Rural","Lindi",2011-02-04,11
"lindirural_mnara_mkangaii","Mnara","Lindi Rural","Lindi",2011-02-06,17
"lindirural_namangale_chiwelele","Namangale","Lindi Rural","Lindi",2011-02-06,20
"lindirural_namangale_namangale","Namangale","Lindi Rural","Lindi",2011-02-06,11
"ruangwa_chinongwe_chinongwea","Chinongwe","Ruangwa","Lindi",2011-02-06,27
"lindirural_nyangamara_utimbe","Nyangamara","Lindi Rural","Lindi",2011-02-07,1
"ruangwa_chinongwe_likwachu","Chinongwe","Ruangwa","Lindi",2011-02-09,21
"ruangwa_ruangwa_lipande","Ruangwa","Ruangwa","Lindi",2011-02-09,7
"masasi_mkululu_mkululu","Mkululu","Masasi","Mtwara",2011-02-09,10
"masasi_namatutwe_namatutwe","Namatutwe","Masasi","Mtwara",2011-02-09,11
"nachingwea_lionja_ilolo","Lionja","Nachingwea","Lindi",2011-02-10,5
"nachingwea_nditi_namanja","Nditi","Nachingwea","Lindi",2011-02-10,12
"nachingwea_nditi_nditi","Nditi","Nachingwea","Lindi",2011-02-10,26
"ruangwa_chinongwe_chinongweb","Chinongwe","Ruangwa","Lindi",2011-02-10,6
"ruangwa_chunyu_chunyu","Chunyu","Ruangwa","Lindi",2011-02-10,9
"ruangwa_nachingwea_dodoma","Nachingwea","Ruangwa","Lindi",2011-02-10,10
"masasi_mchauru_mchauru","Mchauru","Masasi","Mtwara",2011-02-10,7
"masasi_mchauru_rivango","Mchauru","Masasi","Mtwara",2011-02-10,6
"masasitownshipauthority_nyasa_mtaawanyasaa","Nyasa","Masasi Township Authority","Mtwara",2011-02-10,42
"ruangwa_chinongwe_juhudia","Chinongwe","Ruangwa","Lindi",2011-02-11,5
"masasi_mchauru_mwitika","Mchauru","Masasi","Mtwara",2011-02-11,36
"masasi_mwena_chikundi","Mwena","Masasi","Mtwara",2011-02-11,74
"liwale_kibutuka_ngumbu","Kibutuka","Liwale","Lindi",2011-02-12,9
