"Correct_Village","DW","month","year","round","Dogs"
"temeke_toangoma_masuliza","temeke_toangoma",4,2010,1,3
"temeke_toangoma_mikwambe","temeke_toangoma",4,2010,1,44
"temeke_toangoma_mzinga","temeke_toangoma",4,2010,1,13
"temeke_toangoma_vikunai","temeke_toangoma",4,2010,1,28
"temeke_tungi_magogoni","temeke_tungi",4,2010,1,42
"temeke_vijibweni_kibene","temeke_vijibweni",4,2010,1,30
"temeke_vijibweni_kisiwani","temeke_vijibweni",4,2010,1,47
"temeke_vijibweni_vijibweni","temeke_vijibweni",4,2010,1,77
"temeke_yombovituka_machimbo","temeke_yombovituka",4,2010,1,76
"temeke_yombovituka_sigara","temeke_yombovituka",4,2010,1,78
"temeke_yombovituka_yombovituka","temeke_yombovituka",4,2010,1,243
"ulanga_chirombola_chirombola","ulanga_chirombola",5,2010,1,14
"ulanga_chirombola_mzelezi","ulanga_chirombola",5,2010,1,53
"ulanga_euga_ebuyu","ulanga_euga",5,2010,1,25
"ulanga_euga_euga","ulanga_euga",5,2010,1,10
"ulanga_ilonga_chigandugandu","ulanga_ilonga",5,2010,1,11
"ulanga_ilonga_ketaketa","ulanga_ilonga",5,2010,1,15
"ulanga_ilonga_luhombero","ulanga_ilonga",5,2010,1,28
"ulanga_iragua_iragua","ulanga_iragua",5,2010,1,109
"ulanga_iragua_kidugalo","ulanga_iragua",5,2010,1,131
"ulanga_isongo_isongo","ulanga_isongo",5,2010,1,200
"ulanga_isongo_uponera","ulanga_isongo",5,2010,1,60
"ulanga_itete_minazini","ulanga_itete",5,2010,1,96
"ulanga_itete_njiwa","ulanga_itete",5,2010,1,154
"ulanga_kichangani_idunda","ulanga_kichangani",5,2010,1,81
"ulanga_kichangani_kichangani","ulanga_kichangani",5,2010,1,48
"ulanga_lukande_gombe","ulanga_lukande",5,2010,1,38
"ulanga_lukande_lukande","ulanga_lukande",5,2010,1,26
"ulanga_lupiro_igota","ulanga_lupiro",5,2010,1,20
"ulanga_lupiro_lupiro","ulanga_lupiro",5,2010,1,71
"ulanga_lupiro_milola","ulanga_lupiro",5,2010,1,87
"ulanga_lupiro_nakafulu","ulanga_lupiro",5,2010,1,13
"ulanga_mahenge_mahenge","ulanga_mahenge",5,2010,1,77
"ulanga_malinyi_igawa","ulanga_malinyi",5,2010,1,72
"ulanga_malinyi_kipingo","ulanga_malinyi",5,2010,1,110
"ulanga_malinyi_lugala","ulanga_malinyi",5,2010,1,96
"ulanga_malinyi_malinyi","ulanga_malinyi",5,2010,1,35
"ulanga_malinyi_misegese","ulanga_malinyi",5,2010,1,84
"ulanga_mbuga_iputi","ulanga_mbuga",5,2010,1,4
"ulanga_mbuga_mbuga","ulanga_mbuga",5,2010,1,22
"ulanga_minepa_kivukoni","ulanga_minepa",5,2010,1,197
"ulanga_minepa_mavimba","ulanga_minepa",5,2010,1,43
"ulanga_minepa_minepa","ulanga_minepa",5,2010,1,40
"ulanga_msogezi_chikuti","ulanga_msogezi",5,2010,1,74
"ulanga_msogezi_mdindo","ulanga_msogezi",5,2010,1,59
"ulanga_msogezi_msogezi","ulanga_msogezi",5,2010,1,75
"ulanga_mtimbira_kipenyo","ulanga_mtimbira",5,2010,1,51
"ulanga_mtimbira_madibira","ulanga_mtimbira",5,2010,1,21
"ulanga_mtimbira_mtimbira","ulanga_mtimbira",5,2010,1,23
"ulanga_mtimbira_munga","ulanga_mtimbira",5,2010,1,11
"ulanga_mwaya_mwaya","ulanga_mwaya",5,2010,1,35
"ulanga_mwaya_nkongo","ulanga_mwaya",5,2010,1,26
"ulanga_ruaha_kituti","ulanga_ruaha",5,2010,1,39
"ulanga_ruaha_mgolo","ulanga_ruaha",5,2010,1,25
"ulanga_ruaha_ruaha","ulanga_ruaha",5,2010,1,87
"ulanga_sali_isyaga","ulanga_sali",5,2010,1,48
"ulanga_sali_sali","ulanga_sali",5,2010,1,55
"ulanga_sofi_kiswago","ulanga_sofi",5,2010,1,44
"ulanga_sofi_majiji","ulanga_sofi",5,2010,1,65
"ulanga_sofi_sofimission","ulanga_sofi",5,2010,1,95
"ulanga_usangule_kalangakelo","ulanga_usangule",5,2010,1,116
"ulanga_usangule_usangule","ulanga_usangule",5,2010,1,107
"ulanga_vigoi_epanko","ulanga_vigoi",5,2010,1,70
"ulanga_vigoi_makanga","ulanga_vigoi",5,2010,1,182
"ulanga_vigoi_mbagula","ulanga_vigoi",5,2010,1,58
"ulanga_vigoi_nawenge","ulanga_vigoi",5,2010,1,143
"ulanga_vigoi_vigoi","ulanga_vigoi",5,2010,1,63
"kilombero_chisano_chisano","kilombero_chisano",7,2010,1,33
"kilombero_chisano_mgugwe","kilombero_chisano",7,2010,1,31
"kilombero_chita_chita","kilombero_chita",7,2010,1,148
"kilombero_chita_merera","kilombero_chita",7,2010,1,40
"kilombero_chita_udagaji","kilombero_chita",7,2010,1,38
"kilombero_idete_idete","kilombero_idete",7,2010,1,109
"kilombero_idete_kisegese","kilombero_idete",7,2010,1,63
"kilombero_idete_miwangani","kilombero_idete",7,2010,1,74
"kilombero_idete_namwawala","kilombero_idete",7,2010,1,132
"kilombero_ifakara_ifakara","kilombero_ifakara",7,2010,1,24
"kilombero_ifakara_katindiuka","kilombero_ifakara",7,2010,1,14
"kilombero_ifakara_lipangalala","kilombero_ifakara",7,2010,1,86
"kilombero_ifakara_mlabani","kilombero_ifakara",7,2010,1,65
"kilombero_ifakara_viwanjasitini","kilombero_ifakara",7,2010,1,33
"kilombero_kibaoni_kibaoni","kilombero_kibaoni",7,2010,1,195
"kilombero_kibaoni_kikwawila","kilombero_kibaoni",7,2010,1,58
"kilombero_kibaoni_kilama","kilombero_kibaoni",7,2010,1,86
"kilombero_kibaoni_lungongole","kilombero_kibaoni",7,2010,1,37
"kilombero_kibaoni_mbasa","kilombero_kibaoni",7,2010,1,58
"kilombero_kiberege_kiberege","kilombero_kiberege",7,2010,1,101
"kilombero_kiberege_mkasu","kilombero_kiberege",7,2010,1,55
"kilombero_kiberege_sagamaganga","kilombero_kiberege",7,2010,1,71
"kilombero_kiberege_siginali","kilombero_kiberege",7,2010,1,116
"kilombero_kidatu_kidatu","kilombero_kidatu",7,2010,1,74
"kilombero_kidatu_mkamba","kilombero_kidatu",7,2010,1,146
"kilombero_kidatu_msolwastation","kilombero_kidatu",7,2010,1,84
"kilombero_kisawasawa_ichonde","kilombero_kisawasawa",7,2010,1,28
"kilombero_kisawasawa_kanolo","kilombero_kisawasawa",7,2010,1,13
"kilombero_kisawasawa_kisawasawa","kilombero_kisawasawa",7,2010,1,37
"kilombero_kisawasawa_mpanga","kilombero_kisawasawa",7,2010,1,43
"kilombero_lumemo_ihanga","kilombero_lumemo",7,2010,1,91
"kilombero_lumemo_kiningina","kilombero_lumemo",7,2010,1,39
"kilombero_lumemo_lumemo","kilombero_lumemo",7,2010,1,86
"kilombero_lumemo_machipi","kilombero_lumemo",7,2010,1,28
"kilombero_lumemo_mahutanga","kilombero_lumemo",7,2010,1,41
"kilombero_lumemo_michenga","kilombero_lumemo",7,2010,1,53
"kilombero_mangula_kanyenja","kilombero_mangula",7,2010,1,12
"kilombero_mangula_mangulaa","kilombero_mangula",7,2010,1,64
"kilombero_mangula_mangulab","kilombero_mangula",7,2010,1,53
"kilombero_mangula_mgudeni","kilombero_mangula",7,2010,1,18
"kilombero_mangula_mhelule","kilombero_mangula",7,2010,1,18
"kilombero_mangula_mikoleko","kilombero_mangula",7,2010,1,19
"kilombero_mangula_msalise","kilombero_mangula",7,2010,1,22
"kilombero_mangula_mwaya","kilombero_mangula",7,2010,1,4
"kilombero_masagati_ipinde","kilombero_masagati",7,2010,1,56
"kilombero_masagati_taweta","kilombero_masagati",7,2010,1,34
"kilombero_mbingu_igima","kilombero_mbingu",7,2010,1,90
"kilombero_mbingu_mbingu","kilombero_mbingu",7,2010,1,116
"kilombero_mbingu_mpofu","kilombero_mbingu",7,2010,1,105
"kilombero_mchombe_ikule","kilombero_mchombe",7,2010,1,43
"kilombero_mchombe_lukolongo","kilombero_mchombe",7,2010,1,16
"kilombero_mchombe_mchombe","kilombero_mchombe",7,2010,1,78
"kilombero_mchombe_mkangawalo","kilombero_mchombe",7,2010,1,97
"kilombero_mchombe_mngeta","kilombero_mchombe",7,2010,1,124
"kilombero_mchombe_njagi","kilombero_mchombe",7,2010,1,66
"kilombero_mkula_katurukila","kilombero_mkula",7,2010,1,30
"kilombero_mkula_magombera","kilombero_mkula",7,2010,1,30
"kilombero_mkula_mkula","kilombero_mkula",7,2010,1,9
"kilombero_mkula_msufini","kilombero_mkula",7,2010,1,5
"kilombero_mkula_sole","kilombero_mkula",7,2010,1,11
"kilombero_mkula_sonjo","kilombero_mkula",7,2010,1,9
"kilombero_mlimba_kalengakelu","kilombero_mlimba",7,2010,1,139
"kilombero_mlimba_kamwene","kilombero_mlimba",7,2010,1,46
"kilombero_mlimba_matema","kilombero_mlimba",7,2010,1,162
"kilombero_mlimba_mlimbaa","kilombero_mlimba",7,2010,1,131
"kilombero_mlimba_mlimbab","kilombero_mlimba",7,2010,1,114
"kilombero_mlimba_msolwa","kilombero_mlimba",7,2010,1,57
"kilombero_mlimba_mwembeni","kilombero_mlimba",7,2010,1,47
"kilombero_mlimba_viwanjasitini","kilombero_mlimba",7,2010,1,63
"kilombero_mofu_ikwambi","kilombero_mofu",7,2010,1,25
"kilombero_mofu_mofu","kilombero_mofu",7,2010,1,117
"kilombero_sanje_msolwaujamaa","kilombero_sanje",7,2010,1,62
"kilombero_sanje_sanje","kilombero_sanje",7,2010,1,20
"kilombero_uchindile_uchindile","kilombero_uchindile",7,2010,1,217
"kilombero_utengule_mpanga","kilombero_utengule",7,2010,1,83
"kilombero_utengule_ngalimila","kilombero_utengule",7,2010,1,62
"kilombero_utengule_utengule","kilombero_utengule",7,2010,1,65
"morogoro_kibungojuu_dimilo","morogoro_kibungojuu",7,2010,1,36
"morogoro_kidugalo_serengetia","morogoro_kidugalo",7,2010,1,57
"morogoro_kinole_amini","morogoro_kinole",7,2010,1,60
"morogoro_kinole_kalundwa","morogoro_kinole",7,2010,1,36
"morogoro_kinole_lungala","morogoro_kinole",7,2010,1,16
"morogoro_kinole_tandai","morogoro_kinole",7,2010,1,34
"morogoro_kisemu_nige","morogoro_kisemu",7,2010,1,61
"morogoro_konde_konde","morogoro_konde",7,2010,1,98
"morogoro_matuli_diguzi","morogoro_matuli",7,2010,1,48
"morogoro_matuli_kwamba","morogoro_matuli",7,2010,1,74
"morogoro_matuli_matuli","morogoro_matuli",7,2010,1,129
"morogoro_mngazi_milengwelengwe","morogoro_mngazi",7,2010,1,32
"morogoro_mngazi_sesenga","morogoro_mngazi",7,2010,1,19
"morogoro_mvuha_dala","morogoro_mvuha",7,2010,1,19
"morogoro_mvuha_msonge","morogoro_mvuha",7,2010,1,19
"morogoro_ngerengere_kiwege","morogoro_ngerengere",7,2010,1,64
"morogoro_ngerengere_ngerengere","morogoro_ngerengere",7,2010,1,132
"morogoro_ngerengere_sinyaulime","morogoro_ngerengere",7,2010,1,69
"morogoro_tawa_kitungwa","morogoro_tawa",7,2010,1,33
"morogoro_tawa_milawilila","morogoro_tawa",7,2010,1,28
"morogoro_tawa_tawa","morogoro_tawa",7,2010,1,16
"morogoro_tawa_uponda","morogoro_tawa",7,2010,1,33
"morogoro_tegetero_bagiro","morogoro_tegetero",7,2010,1,7
"kibaha_bokomnemela_bokomnemela","kibaha_bokomnemela",14,2011,1,47
"kibaha_bokomnemela_mpiji","kibaha_bokomnemela",14,2011,1,40
"kibaha_dutumi_dutumi","kibaha_dutumi",14,2011,1,60
"kibaha_dutumi_mwembengozi","kibaha_dutumi",14,2011,1,56
"kibaha_gwata_gumba","kibaha_gwata",14,2011,1,116
"kibaha_gwata_gwata","kibaha_gwata",14,2011,1,125
"kibaha_kikongo_kikongo","kibaha_kikongo",14,2011,1,67
"kibaha_kikongo_lupunga","kibaha_kikongo",14,2011,1,81
"kibaha_kikongo_mwanabwito","kibaha_kikongo",14,2011,1,88
"kibaha_kikongo_ngeta","kibaha_kikongo",14,2011,1,92
"kibaha_kilangalanga_disunyara","kibaha_kilangalanga",14,2011,1,138
"kibaha_kwala_kwala","kibaha_kwala",14,2011,1,94
"kibaha_kwala_mperamumbi","kibaha_kwala",14,2011,1,33
"kibaha_kwala_msua","kibaha_kwala",14,2011,1,83
"kibaha_magindu_magindu","kibaha_magindu",14,2011,1,178
"kibaha_mlandizi_mlandizikati","kibaha_mlandizi",14,2011,1,121
"kibaha_mlandizi_mlandizimjini","kibaha_mlandizi",14,2011,1,111
"kibaha_mlandizi_vikurutimjini","kibaha_mlandizi",14,2011,1,42
"kibaha_ruvu_ruvustation","kibaha_ruvu",14,2011,1,79
"kibaha_soga_soga","kibaha_soga",14,2011,1,62
"kibaha_soga_vikuge","kibaha_soga",14,2011,1,53
"kibahaurban_kibaha_kwamfipa","kibahaurban_kibaha",14,2011,1,17
"kibahaurban_kibaha_mwendapolea","kibahaurban_kibaha",14,2011,1,58
"kibahaurban_kibaha_mwendapoleb","kibahaurban_kibaha",14,2011,1,5
"kibahaurban_kibaha_simbani","kibahaurban_kibaha",14,2011,1,24
"kibahaurban_kongowe_bamba","kibahaurban_kongowe",14,2011,1,17
"kibahaurban_kongowe_miembesaba","kibahaurban_kongowe",14,2011,1,7
"kibahaurban_kongowe_mwambisi","kibahaurban_kongowe",14,2011,1,58
"kibahaurban_kongowe_viziwaziwa","kibahaurban_kongowe",14,2011,1,40
"kibahaurban_mailimoja_mailimoja","kibahaurban_mailimoja",14,2011,1,111
"kibahaurban_mailimoja_muheza","kibahaurban_mailimoja",14,2011,1,12
"kibahaurban_mailimoja_tangini","kibahaurban_mailimoja",14,2011,1,56
"kibahaurban_mbwawa_mbwawa","kibahaurban_mbwawa",14,2011,1,15
"kibahaurban_mbwawa_miswechini","kibahaurban_mbwawa",14,2011,1,37
"kibahaurban_mbwawa_miswemwembemaduka","kibahaurban_mbwawa",14,2011,1,36
"kibahaurban_mbwawa_mkoleni","kibahaurban_mbwawa",14,2011,1,12
"kibahaurban_misugusugu_misugusugu","kibahaurban_misugusugu",14,2011,1,28
"kibahaurban_misugusugu_miyomboni","kibahaurban_misugusugu",14,2011,1,30
"kibahaurban_misugusugu_saeni","kibahaurban_misugusugu",14,2011,1,13
"kibahaurban_misugusugu_zogowale","kibahaurban_misugusugu",14,2011,1,10
"kibahaurban_mkuza_bungo","kibahaurban_mkuza",14,2011,1,7
"kibahaurban_mkuza_kibondeni","kibahaurban_mkuza",14,2011,1,6
"kibahaurban_mkuza_mkuza","kibahaurban_mkuza",14,2011,1,138
"kibahaurban_msangani_kidenge","kibahaurban_msangani",14,2011,1,10
"kibahaurban_msangani_kumba","kibahaurban_msangani",14,2011,1,15
"kibahaurban_msangani_msangani","kibahaurban_msangani",14,2011,1,12
"kibahaurban_pangani_kidimu","kibahaurban_pangani",14,2011,1,9
"kibahaurban_pangani_lumumba","kibahaurban_pangani",14,2011,1,14
"kibahaurban_pangani_pangani","kibahaurban_pangani",14,2011,1,20
"kibahaurban_pangani_vikaweshuleni","kibahaurban_pangani",14,2011,1,16
"kibahaurban_pichayandege_muharakani","kibahaurban_pichayandege",14,2011,1,57
"kibahaurban_pichayandege_pichayandegelulan","kibahaurban_pichayandege",14,2011,1,24
"kibahaurban_pichayandege_sofu","kibahaurban_pichayandege",14,2011,1,38
"kibahaurban_tumbi_bokotemboni","kibahaurban_tumbi",14,2011,1,9
"kibahaurban_tumbi_bokotimiza","kibahaurban_tumbi",14,2011,1,52
"kibahaurban_tumbi_mkoania","kibahaurban_tumbi",14,2011,1,32
"kibahaurban_tumbi_mkoanib","kibahaurban_tumbi",14,2011,1,13
"kibahaurban_tumbi_mwanalugali","kibahaurban_tumbi",14,2011,1,96
"kibahaurban_visiga_madafu","kibahaurban_visiga",14,2011,1,2
"kibahaurban_visiga_maili","kibahaurban_visiga",14,2011,1,23
"kibahaurban_visiga_visigakati","kibahaurban_visiga",14,2011,1,27
"kilwa_chumo_chumo","kilwa_chumo",14,2011,1,16
"kilwa_chumo_kinywanyubugo","kilwa_chumo",14,2011,1,2
"kilwa_chumo_namayuni","kilwa_chumo",14,2011,1,7
"kilwa_chumo_ngorongoro","kilwa_chumo",14,2011,1,15
"kilwa_kandawale_kandawale","kilwa_kandawale",14,2011,1,29
"kilwa_kandawale_namatewa","kilwa_kandawale",14,2011,1,2
"kilwa_kikole_kikole","kilwa_kikole",14,2011,1,4
"kilwa_kikole_ruhatwe","kilwa_kikole",14,2011,1,2
"kilwa_kinjumbi_kinjumbi","kilwa_kinjumbi",14,2011,1,43
"kilwa_kinjumbi_marendego","kilwa_kinjumbi",14,2011,1,32
"kilwa_kinjumbi_miumbu","kilwa_kinjumbi",14,2011,1,12
"kilwa_kinjumbi_mtyalambu","kilwa_kinjumbi",14,2011,1,4
"kilwa_kinjumbi_pungutini","kilwa_kinjumbi",14,2011,1,16
"kilwa_kinjumbi_somangandumbo","kilwa_kinjumbi",14,2011,1,39
"kilwa_kinjumbi_somangasimu","kilwa_kinjumbi",14,2011,1,25
"kilwa_kipatimu_darajani","kilwa_kipatimu",14,2011,1,5
"kilwa_kipatimu_kipatimu","kilwa_kipatimu",14,2011,1,22
"kilwa_kipatimu_mtondokimwaga","kilwa_kipatimu",14,2011,1,7
"kilwa_kipatimu_nandembo","kilwa_kipatimu",14,2011,1,1
"kilwa_kipatimu_nandete","kilwa_kipatimu",14,2011,1,3
"kilwa_kiranjeranje_kiranjeranje","kilwa_kiranjeranje",14,2011,1,75
"kilwa_kiranjeranje_kiswele","kilwa_kiranjeranje",14,2011,1,17
"kilwa_kiranjeranje_makangaga","kilwa_kiranjeranje",14,2011,1,37
"kilwa_kiranjeranje_mbwemkuru","kilwa_kiranjeranje",14,2011,1,84
"kilwa_kiranjeranje_mirumba","kilwa_kiranjeranje",14,2011,1,20
"kilwa_kiranjeranje_mtandi","kilwa_kiranjeranje",14,2011,1,30
"kilwa_kivinjesingino_magengeni","kilwa_kivinjesingino",14,2011,1,17
"kilwa_kivinjesingino_matandu","kilwa_kivinjesingino",14,2011,1,26
"kilwa_kivinjesingino_mgongeni","kilwa_kivinjesingino",14,2011,1,28
"kilwa_kivinjesingino_nangurukuru","kilwa_kivinjesingino",14,2011,1,34
"kilwa_kivinjesingino_singino","kilwa_kivinjesingino",14,2011,1,15
"kilwa_lihimalyao_lihimalyaokaskazini","kilwa_lihimalyao",14,2011,1,14
"kilwa_lihimalyao_lihmalyokusini","kilwa_lihimalyao",14,2011,1,3
"kilwa_lihimalyao_namakongo","kilwa_lihimalyao",14,2011,1,9
"kilwa_lihimalyao_rushungi","kilwa_lihimalyao",14,2011,1,18
"kilwa_lihimalyao_ruyaya","kilwa_lihimalyao",14,2011,1,2
"kilwa_likawage_likawage","kilwa_likawage",14,2011,1,6
"kilwa_likawage_liwiti","kilwa_likawage",14,2011,1,2
"kilwa_mandawa_hotelitatu","kilwa_mandawa",14,2011,1,19
"kilwa_mandawa_kiwawa","kilwa_mandawa",14,2011,1,31
"kilwa_mandawa_mandawa","kilwa_mandawa",14,2011,1,18
"kilwa_mandawa_mavuji","kilwa_mandawa",14,2011,1,16
"kilwa_mandawa_mchakama","kilwa_mandawa",14,2011,1,12
"kilwa_mandawa_mkondaji","kilwa_mandawa",14,2011,1,8
"kilwa_masoko_masoko","kilwa_masoko",14,2011,1,52
"kilwa_masoko_mkwanyule","kilwa_masoko",14,2011,1,7
"kilwa_masoko_mpara","kilwa_masoko",14,2011,1,16
"kilwa_miguruwe_miguruwe","kilwa_miguruwe",14,2011,1,15
"kilwa_miguruwe_nakingombe","kilwa_miguruwe",14,2011,1,5
"kilwa_miguruwe_zingakibaoni","kilwa_miguruwe",14,2011,1,10
"kilwa_mingumbi_chapita","kilwa_mingumbi",14,2011,1,5
"kilwa_mingumbi_mingumbi","kilwa_mingumbi",14,2011,1,8
"kilwa_mingumbi_nambondo","kilwa_mingumbi",14,2011,1,16
"kilwa_mingumbi_nampunga","kilwa_mingumbi",14,2011,1,4
"kilwa_mingumbi_nangambi","kilwa_mingumbi",14,2011,1,11
"kilwa_miteja_miteja","kilwa_miteja",14,2011,1,56
"kilwa_miteja_mtukwao","kilwa_miteja",14,2011,1,22
"kilwa_mitole_mitole","kilwa_mitole",14,2011,1,2
"kilwa_mitole_ngea","kilwa_mitole",14,2011,1,1
"kilwa_nanjirinji_nakiu","kilwa_nanjirinji",14,2011,1,9
"kilwa_nanjirinji_nanjia","kilwa_nanjirinji",14,2011,1,19
"kilwa_njinjo_kipindimbi","kilwa_njinjo",14,2011,1,23
"kilwa_njinjo_njinjo","kilwa_njinjo",14,2011,1,14
"kilwa_pandemikoma_malalani","kilwa_pandemikoma",14,2011,1,12
"kilwa_pandemikoma_mtitimila","kilwa_pandemikoma",14,2011,1,13
"kilwa_pandemikoma_nakimweramikoma","kilwa_pandemikoma",14,2011,1,19
"kilwa_pandemikoma_namwedo","kilwa_pandemikoma",14,2011,1,11
"kilwa_pandemikoma_nangookiwala","kilwa_pandemikoma",14,2011,1,17
"kilwa_pandemikoma_pandeploti","kilwa_pandemikoma",14,2011,1,27
"kilwa_tingi_mtandango","kilwa_tingi",14,2011,1,14
"kilwa_tingi_njianne","kilwa_tingi",14,2011,1,17
"kilwa_tingi_tingi","kilwa_tingi",14,2011,1,20
"lindirural_chiponda_chiodyaa","lindirural_chiponda",14,2011,1,30
"lindirural_chiponda_chiponda","lindirural_chiponda",14,2011,1,33
"lindirural_chiponda_mwangu","lindirural_chiponda",14,2011,1,18
"lindirural_chiponda_ntauna","lindirural_chiponda",14,2011,1,27
"lindirural_kilangala_kilangalab","lindirural_kilangala",14,2011,1,14
"lindirural_kilangala_mnimbila","lindirural_kilangala",14,2011,1,12
"lindirural_kilangala_mtumbikile","lindirural_kilangala",14,2011,1,8
"lindirural_kilolambwani_kilolambwani","lindirural_kilolambwani",14,2011,1,13
"lindirural_kilolambwani_mvulenia","lindirural_kilolambwani",14,2011,1,3
"lindirural_kilolambwani_mvulenib","lindirural_kilolambwani",14,2011,1,11
"lindirural_kitomanga_kitomanga","lindirural_kitomanga",14,2011,1,14
"lindirural_kitomanga_mkwajuni","lindirural_kitomanga",14,2011,1,14
"lindirural_kiwalala_kiwalala","lindirural_kiwalala",14,2011,1,13
"lindirural_kiwalala_mahumbika","lindirural_kiwalala",14,2011,1,17
"lindirural_kiwalala_narunyu","lindirural_kiwalala",14,2011,1,4
"lindirural_longa_longa","lindirural_longa",14,2011,1,26
"lindirural_longa_narwadi","lindirural_longa",14,2011,1,1
"lindirural_longa_tulieni","lindirural_longa",14,2011,1,3
"lindirural_majengo_majengoa","lindirural_majengo",14,2011,1,6
"lindirural_majengo_majengob","lindirural_majengo",14,2011,1,2
"lindirural_majengo_masasi","lindirural_majengo",14,2011,1,15
"lindirural_majengo_mbalala","lindirural_majengo",14,2011,1,7
"lindirural_majengo_mkwajuni","lindirural_majengo",14,2011,1,22
"lindirural_majengo_nangaka","lindirural_majengo",14,2011,1,6
"lindirural_mandwanga_lindwandwali","lindirural_mandwanga",14,2011,1,18
"lindirural_mandwanga_mandwanga","lindirural_mandwanga",14,2011,1,3
"lindirural_mandwanga_mikongi","lindirural_mandwanga",14,2011,1,10
"lindirural_matimba_likwaya","lindirural_matimba",14,2011,1,6
"lindirural_matimba_matimba","lindirural_matimba",14,2011,1,20
