"DW","month","year","round","Dogs"
"lindirural_chiponda",14,2011,1,108
"lindirural_kilangala",14,2011,1,34
"lindirural_kilolambwani",14,2011,1,27
"lindirural_kitomanga",14,2011,1,28
"lindirural_kiwalala",14,2011,1,34
"lindirural_longa",14,2011,1,30
"lindirural_majengo",14,2011,1,58
"lindirural_mandwanga",14,2011,1,31
"lindirural_matimba",14,2011,1,37
"lindirural_mchinga",14,2011,1,17
"lindirural_milola",14,2011,1,67
"lindirural_mipingo",14,2011,1,42
"lindirural_mnara",14,2011,1,97
"lindirural_mnolela",14,2011,1,62
"lindirural_mtama",14,2011,1,25
"lindirural_mtua",14,2011,1,11
"lindirural_mtumbya",14,2011,1,23
"lindirural_nachunyu",14,2011,1,9
"lindirural_nahukahuka",14,2011,1,70
"lindirural_namangale",14,2011,1,31
"lindirural_namupa",14,2011,1,19
"lindirural_nangaru",14,2011,1,52
"lindirural_navanga",14,2011,1,42
"lindirural_nyangamara",14,2011,1,85
"lindirural_nyangao",14,2011,1,10
"lindirural_nyengedi",14,2011,1,41
"lindirural_pangatena",14,2011,1,92
"lindirural_rutamba",14,2011,1,105
"lindirural_sudi",14,2011,1,19
"lindiurban_chikonji",14,2011,1,75
"lindiurban_jamhuri",14,2011,1,46
"lindiurban_matopeni",14,2011,1,110
"lindiurban_mbanja",14,2011,1,41
"lindiurban_mingoyo",14,2011,1,191
"lindiurban_mitandi",14,2011,1,3
"lindiurban_msinjahili",14,2011,1,93
"lindiurban_mtanda",14,2011,1,141
"lindiurban_mwenge",14,2011,1,34
"lindiurban_nachingwea",14,2011,1,5
"lindiurban_ndoro",14,2011,1,23
"lindiurban_ngapa",14,2011,1,122
"lindiurban_rasbura",14,2011,1,86
"lindiurban_tandangongoro",14,2011,1,105
"liwale_barikiwa",14,2011,1,12
"liwale_kiangara",14,2011,1,27
"liwale_kibutuka",14,2011,1,27
"liwale_kichonda",14,2011,1,18
"liwale_kimambi",14,2011,1,1
"liwale_likongowele",14,2011,1,13
"liwale_lilombe",14,2011,1,24
"liwale_liwaleb",14,2011,1,61
"liwale_liwalemjini",14,2011,1,54
"liwale_makata",14,2011,1,24
"liwale_mangirikiti",14,2011,1,32
"liwale_mbaya",14,2011,1,3
"liwale_mihumo",14,2011,1,60
"liwale_mirui",14,2011,1,17
"liwale_mkutano",14,2011,1,3
"liwale_mlembwe",14,2011,1,49
"liwale_mpigamiti",14,2011,1,32
"liwale_nangando",14,2011,1,38
"liwale_nangano",14,2011,1,23
"liwale_ngongowele",14,2011,1,32
"masasi_chigugu",14,2011,1,4
"masasi_chiungutwa",14,2011,1,8
"masasi_chiwale",14,2011,1,22
"masasi_lukuledi",14,2011,1,21
"masasi_mbuyuni",14,2011,1,84
"masasi_mchauru",14,2011,1,49
"masasi_mkululu",14,2011,1,29
"masasi_mlingula",14,2011,1,9
"masasi_mpanyani",14,2011,1,156
"masasi_mwena",14,2011,1,74
"masasi_namajani",14,2011,1,18
"masasi_namalenga",14,2011,1,24
"masasi_namatutwe",14,2011,1,11
"masasi_nanjota",14,2011,1,37
"masasitownshipauthority_mkomaindo",14,2011,1,35
"masasitownshipauthority_mkuti",14,2011,1,50
"masasitownshipauthority_mtandi",14,2011,1,50
"masasitownshipauthority_mwengemtapika",14,2011,1,19
"masasitownshipauthority_nyasa",14,2011,1,42
"masasitownshipauthority_sululu",14,2011,1,26
"masasitownshipauthority_temeke",14,2011,1,42
"mtwararural_chawi",14,2011,1,22
"mtwararural_dihimba",14,2011,1,25
"mtwararural_kiromba",14,2011,1,5
"mtwararural_kitaya",14,2011,1,7
"mtwararural_kitere",14,2011,1,32
"mtwararural_kiyanga",14,2011,1,21
"mtwararural_libobe",14,2011,1,19
"mtwararural_mahurunga",14,2011,1,19
"mtwararural_mayanga",14,2011,1,16
"mtwararural_mbembaleo",14,2011,1,28
"mtwararural_milangominne",14,2011,1,13
"mtwararural_mnima",14,2011,1,19
"mtwararural_mpapura",14,2011,1,15
"mtwararural_msangamkuu",14,2011,1,5
"mtwararural_mtimbwilimbwi",14,2011,1,19
"mtwararural_mtiniko",14,2011,1,16
"mtwararural_namtumbuka",14,2011,1,4
"mtwararural_nanguruwe",14,2011,1,15
"mtwararural_nanyamba",14,2011,1,17
"mtwararural_naumbu",14,2011,1,10
"mtwararural_ndumbwe",14,2011,1,50
"mtwararural_njengwa",14,2011,1,87
"mtwararural_tangazo",14,2011,1,21
"nachingwea_chiola",14,2011,1,78
"nachingwea_kiegei",14,2011,1,7
"nachingwea_kilimanihewa",14,2011,1,55
"nachingwea_kilimarondo",14,2011,1,38
"nachingwea_kiparamnero",14,2011,1,86
"nachingwea_lionja",14,2011,1,74
"nachingwea_marambo",14,2011,1,160
"nachingwea_matekwe",14,2011,1,25
"nachingwea_mbondo",14,2011,1,64
"nachingwea_mkoka",14,2011,1,61
"nachingwea_mkotokuyana",14,2011,1,23
"nachingwea_mneromiembeni",14,2011,1,92
"nachingwea_mnerongongo",14,2011,1,126
"nachingwea_mpiruka",14,2011,1,106
"nachingwea_mtua",14,2011,1,111
"nachingwea_naipanga",14,2011,1,29
"nachingwea_naipingo",14,2011,1,215
"nachingwea_namapwia",14,2011,1,58
"nachingwea_nambambo",14,2011,1,42
"nachingwea_namikango",14,2011,1,54
"nachingwea_nangowe",14,2011,1,129
"nachingwea_nditi",14,2011,1,105
"nachingwea_ndomoni",14,2011,1,33
"nachingwea_ruponda",14,2011,1,173
"nachingwea_stesheni",14,2011,1,36
"nanyumbu_chipuputa",14,2011,1,23
"nanyumbu_lumesule",14,2011,1,24
"nanyumbu_mangaka",14,2011,1,52
"nanyumbu_masuguru",14,2011,1,61
"nanyumbu_mikangaula",14,2011,1,47
"nanyumbu_mkonona",14,2011,1,84
"nanyumbu_mnanje",14,2011,1,43
"nanyumbu_nandete",14,2011,1,64
"nanyumbu_nangomba",14,2011,1,48
"nanyumbu_nanyumbu",14,2011,1,114
"nanyumbu_napacho",14,2011,1,18
"nanyumbu_sengenya",14,2011,1,51
"ruangwa_chibula",14,2011,1,20
"ruangwa_chienjele",14,2011,1,189
"ruangwa_chinongwe",14,2011,1,289
"ruangwa_chunyu",14,2011,1,17
"ruangwa_likunja",14,2011,1,20
"ruangwa_luchelegwa",14,2011,1,43
"ruangwa_malolo",14,2011,1,63
"ruangwa_mandawa",14,2011,1,45
"ruangwa_matambarale",14,2011,1,50
"ruangwa_mbekenyera",14,2011,1,67
"ruangwa_mnacho",14,2011,1,45
"ruangwa_nachingwea",14,2011,1,52
"ruangwa_nambilanje",14,2011,1,36
"ruangwa_namichiga",14,2011,1,42
"ruangwa_nandagala",14,2011,1,34
"ruangwa_nanganga",14,2011,1,33
"ruangwa_narungombe",14,2011,1,1
"ruangwa_nkowe",14,2011,1,74
"ruangwa_ruangwa",14,2011,1,27
"kisarawe_cholesamvula",15,2011,1,82
"kisarawe_kibuta",15,2011,1,183
"kisarawe_kiluvya",15,2011,1,697
"kisarawe_kisarawe",15,2011,1,282
"kisarawe_kurui",15,2011,1,81
"kisarawe_mafizi",15,2011,1,290
"kisarawe_maneromango",15,2011,1,128
"kisarawe_marui",15,2011,1,155
"kisarawe_marumbo",15,2011,1,72
"kisarawe_masaki",15,2011,1,82
"kisarawe_msanga",15,2011,1,101
"kisarawe_msimbu",15,2011,1,196
"kisarawe_mzenga",15,2011,1,70
"kisarawe_vihingo",15,2011,1,93
"kisarawe_vikumbulu",15,2011,1,63
"mkuranga_kimanzichana",15,2011,1,66
"mkuranga_kiparanganda",15,2011,1,58
"mkuranga_kisiju",15,2011,1,92
"mkuranga_kitomondo",15,2011,1,8
"mkuranga_lukanga",15,2011,1,9
"mkuranga_mbezi",15,2011,1,40
"mkuranga_mkamba",15,2011,1,71
"mkuranga_mkuranga",15,2011,1,237
"mkuranga_mwalusembe",15,2011,1,72
"mkuranga_njianne",15,2011,1,37
"mkuranga_nyamato",15,2011,1,3
"mkuranga_panzuo",15,2011,1,15
"mkuranga_shungubweni",15,2011,1,52
"mkuranga_tambani",15,2011,1,31
"mkuranga_vianzi",15,2011,1,23
"mkuranga_vikindu",15,2011,1,266
"mtwaraurban_chikongola",15,2011,1,5
"mtwaraurban_chuno",15,2011,1,172
"mtwaraurban_jangwani",15,2011,1,19
"mtwaraurban_likombe",15,2011,1,72
"mtwaraurban_naliendele",15,2011,1,47
"mtwaraurban_railway",15,2011,1,10
"mtwaraurban_shangani",15,2011,1,116
"mtwaraurban_ufukoni",15,2011,1,115
"newala_chihangu",15,2011,1,47
"newala_chilangala",15,2011,1,49
"newala_chiwonga",15,2011,1,2
"newala_kitangari",15,2011,1,40
"newala_luchindu",15,2011,1,129
"newala_makonga",15,2011,1,8
"newala_makukwe",15,2011,1,7
"newala_malatu",15,2011,1,26
"newala_maputi",15,2011,1,33
"newala_mchemo",15,2011,1,14
"newala_mcholii",15,2011,1,7
"newala_mcholiii",15,2011,1,20
"newala_mdimbampelempele",15,2011,1,147
"newala_mkunya",15,2011,1,9
"newala_mnekachi",15,2011,1,10
"newala_mnyambe",15,2011,1,245
"newala_mtonya",15,2011,1,6
"newala_mtopwa",15,2011,1,13
"newala_nakahako",15,2011,1,18
"newala_nambali",15,2011,1,10
"newala_namiyonga",15,2011,1,5
"newala_nandwahi",15,2011,1,2
"newala_nanguruwe",15,2011,1,157
"rufiji_bungu",15,2011,1,282
"rufiji_chemchem",15,2011,1,58
"rufiji_chumbi",15,2011,1,353
"rufiji_dimani",15,2011,1,22
"rufiji_ikwiriri",15,2011,1,47
"rufiji_kibiti",15,2011,1,87
"rufiji_kiongoroni",15,2011,1,51
"rufiji_mahege",15,2011,1,1
"rufiji_maparoni",15,2011,1,75
"rufiji_mbuchi",15,2011,1,130
"rufiji_mbwara",15,2011,1,87
"rufiji_mgomba",15,2011,1,28
"rufiji_mjawa",15,2011,1,24
"rufiji_mkongo",15,2011,1,36
"rufiji_mlanzi",15,2011,1,9
"rufiji_mtawanya",15,2011,1,16
"rufiji_mtunda",15,2011,1,95
"rufiji_mwambao",15,2011,1,13
"rufiji_mwaseni",15,2011,1,9
"rufiji_ngarambe",15,2011,1,2
"rufiji_ngorongo",15,2011,1,89
"rufiji_ruaruke",15,2011,1,17
"rufiji_salale",15,2011,1,57
"rufiji_umwe",15,2011,1,57
"rufiji_utete",15,2011,1,35
"tandahimba_chaume",18,2011,1,36
"tandahimba_chingungwe",18,2011,1,52
"tandahimba_kitama",18,2011,1,16
"tandahimba_litehu",18,2011,1,13
"tandahimba_luagala",18,2011,1,13
"tandahimba_lukokoda",18,2011,1,21
"tandahimba_lyenje",18,2011,1,49
"tandahimba_mahuta",18,2011,1,17
"tandahimba_maundo",18,2011,1,52
"tandahimba_mchichira",18,2011,1,32
"tandahimba_mdimbamnyoma",18,2011,1,8
"tandahimba_michenjele",18,2011,1,24
"tandahimba_mihambwe",18,2011,1,14
"tandahimba_milingodi",18,2011,1,23
"tandahimba_mkonjowano",18,2011,1,36
"tandahimba_mkoreha",18,2011,1,6
"tandahimba_mkundi",18,2011,1,6
"tandahimba_mkwiti",18,2011,1,29
"tandahimba_mnyawa",18,2011,1,14
"tandahimba_nambahu",18,2011,1,11
"tandahimba_namikupa",18,2011,1,29
"tandahimba_nanhyanga",18,2011,1,15
"tandahimba_naputa",18,2011,1,40
"tandahimba_ngunja",18,2011,1,7
"tandahimba_tandahimba",18,2011,1,32
"kinondoni_kibamba",21,2011,2,85
"kinondoni_kigogo",21,2011,2,132
"kinondoni_kimara",21,2011,2,224
"kinondoni_mburahati",21,2011,2,41
"kinondoni_msigani",21,2011,2,216
"kinondoni_saranga",21,2011,2,120
"kinondoni_ubungo",21,2011,2,53
"temeke_chamazi",21,2011,2,121
"temeke_charambe",21,2011,2,176
"temeke_kibada",21,2011,2,104
"temeke_kigamboni",21,2011,2,187
"temeke_kimbiji",21,2011,2,183
"temeke_kisaraweii",21,2011,2,73
"temeke_makangarawe",21,2011,2,220
"temeke_mbagala",21,2011,2,114
"temeke_mbagalakuu",21,2011,2,161
"temeke_mianzini",21,2011,2,51
"temeke_mjimwema",21,2011,2,154
"temeke_pembamnazi",21,2011,2,210
"temeke_somangila",21,2011,2,151
"temeke_toangoma",21,2011,2,1178
"temeke_tungi",21,2011,2,53
"temeke_vijibweni",21,2011,2,261
"temeke_yombovituka",21,2011,2,261
"ilala_gongolamboto",22,2011,2,32
"ilala_kitunda",22,2011,2,1294
"ilala_kivule",22,2011,2,80
"ilala_msongola",22,2011,2,150
"ilala_pugu",22,2011,2,56
"ilala_segerea",22,2011,2,176
"ilala_ukonga",22,2011,2,62
"kilombero_chisano",22,2011,2,109
"kilombero_chita",22,2011,2,800
"kilombero_idete",22,2011,2,543
"kilombero_ifakara",22,2011,2,336
"kilombero_kibaoni",22,2011,2,725
"kilombero_kiberege",22,2011,2,436
"kilombero_kidatu",22,2011,2,383
"kilombero_kisawasawa",22,2011,2,123
"kilombero_lumemo",22,2011,2,365
"kilombero_mangula",22,2011,2,311
"kilombero_masagati",22,2011,2,381
"kilombero_mbingu",22,2011,2,752
"kilombero_mchombe",22,2011,2,1213
"kilombero_mkula",22,2011,2,223
"kilombero_mlimba",22,2011,2,1124
"kilombero_mofu",22,2011,2,332
"kilombero_sanje",22,2011,2,142
"kilombero_uchindile",22,2011,2,101
"kilombero_utengule",22,2011,2,404
"morogoro_bwakilachini",22,2011,2,352
"morogoro_kasanga",22,2011,2,35
"morogoro_kibogwa",22,2011,2,16
"morogoro_kibungojuu",22,2011,2,20
"morogoro_kiroka",22,2011,2,46
"morogoro_kolero",22,2011,2,314
"morogoro_konde",22,2011,2,34
"morogoro_mikese",22,2011,2,95
"morogoro_mkulazi",22,2011,2,26
"morogoro_mtombozi",22,2011,2,19
"morogoro_singisa",22,2011,2,343
"morogoro_tawa",22,2011,2,125
"morogoro_tegetero",22,2011,2,121
"ulanga_biro",22,2011,2,561
"ulanga_chirombola",22,2011,2,126
"ulanga_euga",22,2011,2,141
"ulanga_ilonga",22,2011,2,157
"ulanga_iragua",22,2011,2,463
"ulanga_isongo",22,2011,2,295
"ulanga_itete",22,2011,2,632
"ulanga_kichangani",22,2011,2,107
"ulanga_kilosakwampepo",22,2011,2,254
"ulanga_lukande",22,2011,2,71
"ulanga_lupiro",22,2011,2,499
"ulanga_mahenge",22,2011,2,329
"ulanga_malinyi",22,2011,2,1433
"ulanga_mbuga",22,2011,2,67
"ulanga_minepa",22,2011,2,523
"ulanga_msogezi",22,2011,2,316
"ulanga_mtimbira",22,2011,2,220
"ulanga_mwaya",22,2011,2,128
"ulanga_ngoheranga",22,2011,2,558
"ulanga_ruaha",22,2011,2,281
"ulanga_sali",22,2011,2,148
"ulanga_sofi",22,2011,2,539
"ulanga_usangule",22,2011,2,132
"ulanga_vigoi",22,2011,2,792
"kibaha_bokomnemela",26,2012,2,152
"kibaha_dutumi",26,2012,2,779
"kibaha_gwata",26,2012,2,573
"kibaha_janga",26,2012,2,374
"kibaha_kikongo",26,2012,2,327
"kibaha_kilangalanga",26,2012,2,509
"kibaha_kwala",26,2012,2,936
"kibaha_magindu",26,2012,2,774
"kibaha_mlandizi",26,2012,2,997
"kibaha_ruvu",26,2012,2,53
"kibaha_soga",26,2012,2,214
"kibahaurban_kibaha",30,2012,2,109
"kibahaurban_kongowe",30,2012,2,280
"kibahaurban_mailimoja",30,2012,2,305
"kibahaurban_mbwawa",30,2012,2,106
"kibahaurban_misugusugu",30,2012,2,201
"kibahaurban_mkuza",30,2012,2,281
"kibahaurban_msangani",30,2012,2,96
"kibahaurban_pangani",30,2012,2,186
"kibahaurban_pichayandege",30,2012,2,363
"kibahaurban_tumbi",30,2012,2,152
"kibahaurban_visiga",30,2012,2,151
"kilwa_chumo",30,2012,2,57
"kilwa_kandawale",30,2012,2,118
"kilwa_kibata",30,2012,2,27
"kilwa_kikole",30,2012,2,19
"kilwa_kinjumbi",30,2012,2,425
"kilwa_kipatimu",30,2012,2,106
"kilwa_kiranjeranje",30,2012,2,329
"kilwa_kivinjesingino",30,2012,2,63
"kilwa_lihimalyao",30,2012,2,73
"kilwa_likawage",30,2012,2,44
"kilwa_mandawa",30,2012,2,110
"kilwa_masoko",30,2012,2,46
"kilwa_miguruwe",30,2012,2,22
"kilwa_mingumbi",30,2012,2,59
"kilwa_miteja",30,2012,2,94
"kilwa_mitole",30,2012,2,3
"kilwa_nanjirinji",30,2012,2,67
"kilwa_njinjo",30,2012,2,26
"kilwa_pandemikoma",30,2012,2,221
"kilwa_tingi",30,2012,2,51
"lindirural_chiponda",30,2012,2,105
"lindirural_kilangala",30,2012,2,57
"lindirural_kilolambwani",30,2012,2,21
"lindirural_kitomanga",30,2012,2,152
"lindirural_kiwalala",30,2012,2,84
"lindirural_kiwawa",30,2012,2,31
"lindirural_longa",30,2012,2,29
"lindirural_majengo",30,2012,2,55
"lindirural_mandwanga",30,2012,2,76
"lindirural_mchinga",30,2012,2,9
"lindirural_milola",30,2012,2,112
"lindirural_mipingo",30,2012,2,28
"lindirural_mnara",30,2012,2,115
"lindirural_mnolela",30,2012,2,84
"lindirural_mtama",30,2012,2,25
"lindirural_mtua",30,2012,2,34
"lindirural_nahukahuka",30,2012,2,61
"lindirural_namangale",30,2012,2,50
"lindirural_navanga",30,2012,2,45
"lindirural_nyangamara",30,2012,2,96
"lindirural_nyangao",30,2012,2,80
"lindirural_nyengedi",30,2012,2,25
"lindirural_pangatena",30,2012,2,55
"lindirural_rutamba",30,2012,2,150
"lindirural_sudi",30,2012,2,167
"lindiurban_chikonji",30,2012,2,47
"lindiurban_jamhuri",30,2012,2,85
"lindiurban_makonde",30,2012,2,12
"lindiurban_matopeni",30,2012,2,85
"lindiurban_mbanja",30,2012,2,49
"lindiurban_mikumbi",30,2012,2,2
"lindiurban_mingoyo",30,2012,2,90
"lindiurban_mitandi",30,2012,2,9
"lindiurban_msinjahili",30,2012,2,55
"lindiurban_mtanda",30,2012,2,139
"lindiurban_mwenge",30,2012,2,10
"lindiurban_nachingwea",30,2012,2,35
"lindiurban_ngapa",30,2012,2,123
"lindiurban_rahaleo",30,2012,2,7
"lindiurban_rasbura",30,2012,2,76
"lindiurban_tandangongoro",30,2012,2,144
"liwale_barikiwa",30,2012,2,22
"liwale_kiangara",30,2012,2,47
"liwale_kibutuka",30,2012,2,50
"liwale_kichonda",30,2012,2,39
"liwale_kimambi",30,2012,2,8
"liwale_likongowele",30,2012,2,67
"liwale_lilombe",30,2012,2,3
"liwale_liwaleb",30,2012,2,116
"liwale_liwalemjini",30,2012,2,42
"liwale_makata",30,2012,2,38
"liwale_mangirikiti",30,2012,2,69
"liwale_mbaya",30,2012,2,59
"liwale_mihumo",30,2012,2,56
"liwale_mirui",30,2012,2,18
"liwale_mpigamiti",30,2012,2,25
"liwale_nangando",30,2012,2,60
"liwale_nangano",30,2012,2,38
"liwale_ngongowele",30,2012,2,23
"masasi_chigugu",30,2012,2,243
"masasi_chikolopola",30,2012,2,92
"masasi_chiungutwa",30,2012,2,48
"masasi_chiwale",30,2012,2,19
"masasi_chiwata",30,2012,2,145
"masasi_lukuledi",30,2012,2,63
"masasi_lulindi",30,2012,2,75
"masasi_mchauru",30,2012,2,132
"masasi_mkululu",30,2012,2,320
"masasi_mlingula",30,2012,2,55
"masasi_mnavira",30,2012,2,83
"masasi_mpanyani",30,2012,2,23
"masasi_mwena",30,2012,2,338
"masasi_namajani",30,2012,2,32
"masasi_namalenga",30,2012,2,89
"masasi_namatutwe",30,2012,2,85
"masasi_nanganga",30,2012,2,111
"masasi_nanjota",30,2012,2,160
"masasi_sindano",30,2012,2,77
"masasitownshipauthority_jida",30,2012,2,111
"masasitownshipauthority_marika",30,2012,2,110
"masasitownshipauthority_migongo",30,2012,2,188
"masasitownshipauthority_mkomaindo",30,2012,2,112
"masasitownshipauthority_mkuti",30,2012,2,85
"masasitownshipauthority_mpindimbi",30,2012,2,79
"masasitownshipauthority_mtandi",30,2012,2,120
"masasitownshipauthority_mwengemtapika",30,2012,2,137
"masasitownshipauthority_nyasa",30,2012,2,89
"masasitownshipauthority_sululu",30,2012,2,79
"masasitownshipauthority_temeke",30,2012,2,149
"mkuranga_bupu",30,2012,2,101
"mkuranga_kimanzichana",30,2012,2,84
"mkuranga_kiparanganda",30,2012,2,88
"mkuranga_kisiju",30,2012,2,91
"mkuranga_kitomondo",30,2012,2,26
"mkuranga_lukanga",30,2012,2,51
"mkuranga_magawa",30,2012,2,110
"mkuranga_mbezi",30,2012,2,41
"mkuranga_mkamba",30,2012,2,51
"mkuranga_mkuranga",30,2012,2,143
"mkuranga_mwalusembe",30,2012,2,85
"mkuranga_njianne",30,2012,2,22
"mkuranga_nyamato",30,2012,2,113
"mkuranga_panzuo",30,2012,2,93
"mkuranga_shungubweni",30,2012,2,44
"mkuranga_tambani",30,2012,2,140
"mkuranga_vianzi",30,2012,2,9
"mkuranga_vikindu",30,2012,2,116
"mtwararural_chawi",30,2012,2,35
"mtwararural_dihimba",30,2012,2,40
"mtwararural_kiromba",30,2012,2,9
"mtwararural_kitaya",30,2012,2,25
"mtwararural_kitere",30,2012,2,50
"mtwararural_kiyanga",30,2012,2,2
"mtwararural_libobe",30,2012,2,43
"mtwararural_madimba",30,2012,2,32
"mtwararural_mahurunga",30,2012,2,44
"mtwararural_mayanga",30,2012,2,40
"mtwararural_mbawala",30,2012,2,40
"mtwararural_mbembaleo",30,2012,2,14
"mtwararural_milangominne",30,2012,2,15
"mtwararural_mnima",30,2012,2,19
"mtwararural_mpapura",30,2012,2,37
"mtwararural_msangamkuu",30,2012,2,17
"mtwararural_mtimbwilimbwi",30,2012,2,28
"mtwararural_mtiniko",30,2012,2,17
"mtwararural_muungano",30,2012,2,20
"mtwararural_namtumbuka",30,2012,2,62
"mtwararural_nanguruwe",30,2012,2,12
"mtwararural_nanyamba",30,2012,2,25
"mtwararural_naumbu",30,2012,2,41
"mtwararural_ndumbwe",30,2012,2,52
"mtwararural_nitekela",30,2012,2,30
"mtwararural_njengwa",30,2012,2,46
"mtwararural_tangazo",30,2012,2,22
"mtwararural_ziwani",30,2012,2,47
"mtwaraurban_chuno",30,2012,2,93
"mtwaraurban_jangwani",30,2012,2,8
"mtwaraurban_likombe",30,2012,2,66
"mtwaraurban_naliendele",30,2012,2,80
"mtwaraurban_ufukoni",30,2012,2,136
"nachingwea_chiola",30,2012,2,69
"nachingwea_kiegei",30,2012,2,12
"nachingwea_kilimanihewa",30,2012,2,70
"nachingwea_kilimarondo",30,2012,2,62
"nachingwea_kiparamnero",30,2012,2,86
"nachingwea_lionja",30,2012,2,146
"nachingwea_marambo",30,2012,2,160
"nachingwea_matekwe",30,2012,2,45
"nachingwea_mbondo",30,2012,2,78
"nachingwea_mkoka",30,2012,2,101
"nachingwea_mkotokuyana",30,2012,2,21
"nachingwea_mneromiembeni",30,2012,2,87
"nachingwea_mnerongongo",30,2012,2,108
"nachingwea_mpiruka",30,2012,2,145
"nachingwea_mtua",30,2012,2,254
"nachingwea_naipanga",30,2012,2,80
"nachingwea_naipingo",30,2012,2,350
"nachingwea_namapwia",30,2012,2,57
"nachingwea_nambambo",30,2012,2,120
"nachingwea_namikango",30,2012,2,98
"nachingwea_nangowe",30,2012,2,149
